"","Names","NA."
"contig_names","norm_f/m_coverage","chromosome"
"125|quiver","1.69335078460454","X"
"151|quiver","1.70569358923394","X"
"161|quiver","1.79439386479392","X"
"182|quiver","1.75604701375665","X"
"252|quiver","1.76434663783896","X"
"274|quiver","1.76763126067171","X"
"277|quiver","1.75048350905119","X"
"310|quiver","1.78867948972146","X"
"313|quiver","1.7446402927628","X"
"325|quiver","1.75358734020893","X"
"326|quiver","1.73296076631803","X"
"342|quiver","1.77098420378443","X"
"347|quiver","1.75027015953562","X"
"353|quiver","1.67780128296884","X"
"360|quiver","1.84883683241573","X"
"358|quiver","1.74199529854615","X"
"370|quiver","1.79719543691788","X"
"376|quiver","1.63896852273825","X"
"411|quiver","1.72134784616921","X"
"413|quiver","1.68838645639638","X"
"414|quiver","1.55165456603195","X"
"419|quiver","1.79617176064954","X"
"462|quiver","1.69876390365195","X"
"476|quiver","1.81204151188823","X"
"474|quiver","1.80547450049561","X"
"500|quiver","1.52167117121202","X"
"505|quiver","1.74384914255039","X"
"509|quiver","1.71229480484336","X"
"518|quiver","1.71193333893232","X"
"525|quiver","1.6838773105165","X"
"537|quiver","1.72063610682993","X"
"593|quiver","1.54845568511233","X"
"613|quiver","1.78928932631334","X"
"615|quiver","1.81661278067893","X"
"619|quiver","1.67396831829796","X"
"643|quiver","1.7754271225693","X"
"658|quiver","1.81439761749519","X"
"693|quiver","1.74435521799948","X"
"682|quiver","1.59768532114734","X"
"703|quiver","1.73325845843578","X"
"700|quiver","1.7324198790041","X"
"718|quiver","1.73821847045659","X"
"739|quiver","1.74126738977366","X"
"767|quiver","1.66167289906944","X"
"777|quiver","1.50574842965087","X"
"769|quiver","1.74894380348299","X"
"791|quiver","1.74047953885503","X"
"799|quiver","1.71231214223559","X"
"805|quiver","1.71487963353463","X"
"824|quiver","1.80306696707707","X"
"839|quiver","1.74180591243693","X"
"849|quiver","1.66870535355286","X"
"854|quiver","1.71478232391187","X"
"868|quiver","1.73816652375621","X"
"882|quiver","1.68746818648423","X"
"910|quiver","1.70551981780603","X"
"919|quiver","1.71899404552189","X"
"941|quiver","1.75791080065431","X"
"955|quiver","1.8062887423122","X"
"851|quiver","1.71909647484125","X"
"959|quiver","1.67917619213858","X"
"968|quiver","1.69486415026521","X"
"971|quiver","1.75955481925688","X"
"977|quiver","1.64518111282756","X"
"988|quiver","1.63789953398185","X"
"993|quiver","1.55215607491242","X"
"1012|quiver","1.74326048356788","X"
"1024|quiver","1.74160043016745","X"
"1025|quiver","1.68993735995805","X"
"1042|quiver","1.71123915726076","X"
"1000|quiver","1.74870979851449","X"
"1054|quiver","1.64789580877317","X"
"850|quiver","0.0852049209409328","Y"
"895|quiver","0.339088361821625","Y"
"949|quiver","0.266262415118662","Y"
"1088|quiver","0.21525012738558","Y"
