"","Names","NA."
"contig_names","norm_f/m_coverage","chromosome"
"chr_10","1.9112902633799","X"
"scaffold_29","1.91141827181611","X"
"scaffold_42","2.43183973826909","X"
"scaffold_45","2.02551561697459","X"
"scaffold_62","1.74341267026839","X"
"scaffold_69","2.13030835799854","X"
"scaffold_76","1.55617523767163","X"
"scaffold_83","2.03438361131316","X"
"scaffold_101","2.93475727093847","X"
"scaffold_108","1.56493673688634","X"
"scaffold_113","2.41138482909322","X"
"scaffold_119","1.63593780328682","X"
"scaffold_123","2.37247188219747","X"
"scaffold_133","1.67930420689297","X"
"scaffold_142","1.75242536181505","X"
"scaffold_143","1.8711595217326","X"
"scaffold_13","0.159506031898405","Y"
"scaffold_33","0.356934148260699","Y"
"scaffold_36","0.127435567299968","Y"
"scaffold_70","0.390711903599016","Y"
"scaffold_87","0.0467210286996144","Y"
"scaffold_92","0.0138647469820558","Y"
"scaffold_94","0.0461026220448191","Y"
"scaffold_111","0.0496769922989076","Y"
"scaffold_120","0.0211577918941953","Y"
"scaffold_124","0.124063270790955","Y"
"scaffold_144","0.340299633951297","Y"
"scaffold_150","0.0485254417510042","Y"
