Run,       ReleaseDate, bases,     download_path,     LibrarySelection, Sex, CenterName,
SRR7881623, 2019-10-14, 5703296508, E1-F-Ab_S29_L004, PAIRED,        female, UPPSALA UNIVERSITY
SRR7881591, 2019-10-14, 5736255084, E1-F-Ab_S29_L005, PAIRED,        female, UPPSALA UNIVERSITY
SRR7881624, 2019-10-14, 2353870512, E2-F-Ab_S37_L004, PAIRED,        female, UPPSALA UNIVERSITY
SRR7881615, 2019-10-14, 2367928332, E2-F-Ab_S37_L005, PAIRED,        female, UPPSALA UNIVERSITY
SRR7881621, 2019-10-14, 3862606104, E3-F-Ab_S45_L006, PAIRED,        female, UPPSALA UNIVERSITY
SRR7881618, 2019-10-14, 3874012380, E3-F-Ab_S45_L007, PAIRED,        female, UPPSALA UNIVERSITY
SRR7881622, 2019-10-14, 2763214524, E4-F-Ab_S53_L006, PAIRED,        female, UPPSALA UNIVERSITY
SRR7881619, 2019-10-14, 2772265104, E4-F-Ab_S53_L007, PAIRED,        female, UPPSALA UNIVERSITY
SRR7881590, 2019-10-14, 1168503084, E1-F-Th_S30_L004, PAIRED,        female, UPPSALA UNIVERSITY
SRR7881594, 2019-10-14, 1173191796, E1-F-Th_S30_L005, PAIRED,        female, UPPSALA UNIVERSITY
SRR7881628, 2019-10-14, 1560159972, E2-F-Th_S38_L004, PAIRED,        female, UPPSALA UNIVERSITY
SRR7881627, 2019-10-14, 1567681164, E2-F-Th_S38_L005, PAIRED,        female, UPPSALA UNIVERSITY
SRR7881625, 2019-10-14, 3767036616, E3-F-Th_S46_L006, PAIRED,        female, UPPSALA UNIVERSITY
SRR7881611, 2019-10-14, 3779885592, E3-F-Th_S46_L007, PAIRED,        female, UPPSALA UNIVERSITY
SRR7881626, 2019-10-14, 4400042724, E4-F-Th_S54_L006, PAIRED,        female, UPPSALA UNIVERSITY
SRR7881612, 2019-10-14, 4413023244, E4-F-Th_S54_L007, PAIRED,        female, UPPSALA UNIVERSITY
SRR7881629, 2019-10-14, 4100790960, E1-M-Ab_S31_L004, PAIRED,        male,   UPPSALA UNIVERSITY
SRR7881595, 2019-10-14, 4120394796, E1-M-Ab_S31_L005, PAIRED,        male,   UPPSALA UNIVERSITY
SRR7881630, 2019-10-14, 5403523608, E2-M-Ab_S39_L004, PAIRED,        male,   UPPSALA UNIVERSITY
SRR7881593, 2019-10-14, 5429650968, E2-M-Ab_S39_L005, PAIRED,        male,   UPPSALA UNIVERSITY
SRR7881601, 2019-10-14, 2644294716, E3-M-Ab_S47_L006, PAIRED,        male,   UPPSALA UNIVERSITY
SRR7881598, 2019-10-14, 2652911352, E3-M-Ab_S47_L007, PAIRED,        male,   UPPSALA UNIVERSITY
