C_maculatus	chromosome	B_siliquastri	chromosome
g6.t1	A	BRAKERILHT00000001257	A
g7.t1	A	BRAKERILHT00000001492	A
g8.t1	A	BRAKERILHT00000002434	A
g10.t1	A	BRAKERILHT00000000800	A
g13.t1	A	BRAKERILHT00000000954	A
g15.t1	A	BRAKERILHT00000001487	A
g16.t1	A	BRAKERILHT00000000992	A
g17.t1	A	BRAKERILHT00000000699	A
g18.t1	A	BRAKERILHT00000000199	A
g21.t2	A	BRAKERILHT00000001472	A
g25.t2	A	BRAKERILHT00000000444	A
g26.t1	A	BRAKERILHT00000001033	A
g28.t1	A	BRAKERILHT00000001481	A
g29.t1	A	BRAKERILHT00000001976	A
g30.t1	A	BRAKERILHT00000000194	A
g31.t1	A	BRAKERILHT00000000787	A
g32.t1	A	BRAKERILHT00000001112	A
g35.t1	A	BRAKERILHT00000001710	A
g36.t1	A	BRAKERILHT00000001296	A
g37.t1	A	BRAKERILHT00000002090	A
g41.t1	A	BRAKERILHT00000000368	A
g44.t1	A	BRAKERILHT00000000433	A
g47.t1	A	BRAKERILHT00000001809	A
g48.t1	A	BRAKERILHT00000000529	A
g49.t1	A	BRAKERILHT00000000806	A
g51.t1	A	BRAKERILHT00000001156	A
g52.t1	A	BRAKERILHT00000001783	A
g57.t1	A	BRAKERILHT00000001342	A
g58.t2	A	BRAKERILHT00000001671	A
g60.t1	A	BRAKERILHT00000001430	A
g62.t1	A	BRAKERILHT00000001977	A
g63.t1	A	BRAKERILHT00000000971	A
g64.t1	A	BRAKERILHT00000000345	A
g65.t2	A	BRAKERILHT00000000006	A
g66.t1	A	BRAKERILHT00000001194	A
g67.t1	A	BRAKERILHT00000000540	A
g69.t2	A	BRAKERILHT00000001777	A
g71.t1	A	BRAKERILHT00000001183	A
g72.t1	A	BRAKERILHT00000001891	A
g73.t1	A	BRAKERILHT00000000003	A
g74.t1	A	BRAKERILHT00000000657	A
g75.t1	A	BRAKERILHT00000000436	A
g80.t5	A	BRAKERILHT00000001037	A
g81.t1	A	BRAKERILHT00000001725	A
g82.t1	A	BRAKERILHT00000005544	A
