A_obtectus	chromosome	B_siliquastri	chromosome
anno1.g1.t1	A	BRAKERILHT00000011050	A
anno1.g2.t1	A	BRAKERILHT00000010651	A
anno1.g3.t1	A	BRAKERILHT00000010748	A
anno1.g4.t1	A	BRAKERILHT00000010567	A
anno1.g5.t1	A	BRAKERILHT00000010853	A
anno1.g6.t1	A	BRAKERILHT00000011279	A
anno1.g7.t7	A	BRAKERILHT00000011786	A
anno1.g8.t1	A	BRAKERILHT00000012101	A
anno1.g10.t1	A	BRAKERILHT00000011750	A
anno1.g11.t1	A	BRAKERILHT00000011369	A
anno1.g12.t1	A	BRAKERILHT00000010589	A
anno1.g14.t1	A	BRAKERILHT00000011635	A
anno1.g17.t1	A	BRAKERILHT00000011326	A
anno1.g18.t1	A	BRAKERILHT00000010469	A
anno1.g19.t1	A	BRAKERILHT00000011009	A
anno1.g21.t1	A	BRAKERILHT00000010696	A
anno1.g22.t1	A	BRAKERILHT00000011236	A
anno1.g23.t1	A	BRAKERILHT00000011879	A
anno1.g24.t1	A	BRAKERILHT00000012209	A
anno1.g27.t1	A	BRAKERILHT00000011134	A
anno1.g28.t1	A	BRAKERILHT00000011614	A
anno1.g37.t1	A	BRAKERILHT00000011620	A
anno1.g38.t1	A	BRAKERILHT00000011331	A
anno1.g39.t2	A	BRAKERILHT00000011695	A
anno1.g40.t1	A	BRAKERILHT00000012284	A
anno1.g43.t1	A	BRAKERILHT00000010899	A
anno1.g45.t1	A	BRAKERILHT00000011412	A
anno1.g48.t2	A	BRAKERILHT00000010817	A
anno1.g50.t1	A	BRAKERILHT00000011353	A
anno1.g54.t1	A	BRAKERILHT00000010645	A
anno1.g55.t1	A	BRAKERILHT00000011083	A
anno1.g56.t1	A	BRAKERILHT00000011681	A
anno1.g57.t1	A	BRAKERILHT00000010652	A
anno1.g58.t1	A	BRAKERILHT00000012211	A
anno1.g60.t1	A	BRAKERILHT00000017263	X
anno1.g61.t1	A	BRAKERILHT00000012217	A
anno1.g62.t1	A	BRAKERILHT00000010827	A
anno1.g65.t1	A	BRAKERILHT00000011801	A
anno1.g66.t1	A	BRAKERILHT00000011245	A
anno1.g67.t1	A	BRAKERILHT00000010935	A
