D_carinulata	chromosome	D_sublineata	chromosome
rna-FKS78_mgp06	A	rna-XM_056791492.1	A
rna-XM_057813134.1	X	rna-XM_056792973.1	A
rna-XM_057813171.1	X	rna-XM_056787472.1	A
rna-XM_057813507.1	X	rna-XM_056791388.1	A
rna-XM_057814565.1	X	rna-XM_056792765.1	A
rna-XM_057798072.1	X	rna-XM_056791162.1	X
rna-XM_057797398.1	X	rna-XM_056791161.1	X
rna-XM_057799747.1	X	rna-XM_056791160.1	X
rna-XM_057799759.1	X	rna-XM_056791233.1	X
rna-XM_057815765.1	X	rna-XM_056791231.1	X
rna-XM_057802991.1	X	rna-XM_056791229.1	X
rna-XM_057797824.1	X	rna-XM_056790046.1	X
rna-XM_057797813.1	X	rna-XM_056790044.1	X
rna-XM_057806304.1	X	rna-XM_056790509.1	X
rna-XM_057801362.1	X	rna-XM_056789476.1	X
rna-XM_057801394.1	X	rna-XM_056789477.1	X
rna-XM_057801386.1	X	rna-XM_056789614.1	X
rna-XM_057801309.1	X	rna-XM_056790675.1	X
rna-XM_057801244.1	X	rna-XM_056790669.1	X
rna-XM_057801350.1	X	rna-XM_056790672.1	X
rna-XM_057801419.1	X	rna-XM_056790673.1	X
rna-XM_057801273.1	X	rna-XM_056790670.1	X
rna-XM_057801263.1	X	rna-XM_056790668.1	X
rna-XM_057801231.1	X	rna-XM_056790667.1	X
rna-XM_057801115.1	X	rna-XM_056790665.1	X
rna-XM_057797655.1	X	rna-XM_056790663.1	X
rna-XM_057803979.1	X	rna-XM_056790661.1	X
rna-XM_057812819.1	X	rna-XM_056790660.1	X
rna-XM_057812831.1	X	rna-XM_056790648.1	X
rna-XM_057812894.1	X	rna-XM_056790656.1	X
rna-XM_057812872.1	X	rna-XM_056790655.1	X
rna-XM_057804561.1	X	rna-XM_056790647.1	X
rna-XM_057804764.1	X	rna-XM_056790646.1	X
rna-XM_057804707.1	X	rna-XM_056790645.1	X
rna-XM_057804620.1	X	rna-XM_056790643.1	X
rna-XM_057804601.1	X	rna-XM_056790642.1	X
rna-XM_057804572.1	X	rna-XM_056790638.1	X
rna-XM_057804668.1	X	rna-XM_056790637.1	X
rna-XM_057804638.1	X	rna-XM_056790635.1	X
rna-XM_057804656.1	X	rna-XM_056790634.1	X
rna-XM_057804737.1	X	rna-XM_056790631.1	X
rna-XM_057804680.1	X	rna-XM_056790630.1	X
rna-XM_057804695.1	X	rna-XM_056790628.1	X
rna-XM_057804728.1	X	rna-XM_056790627.1	X
rna-XM_057804719.1	X	rna-XM_056790626.1	X
rna-XM_057796233.1	X	rna-XM_056789081.1	X
rna-XM_057797524.1	X	rna-XM_056790620.1	X
rna-XM_057796443.1	X	rna-XM_056790617.1	X
rna-XM_057809688.1	X	rna-XM_056790616.1	X
rna-XM_057804840.1	X	rna-XM_056790613.1	X
rna-XM_057804828.1	X	rna-XM_056790610.1	X
rna-XM_057804864.1	X	rna-XM_056790612.1	X
rna-XM_057805107.1	X	rna-XM_056790609.1	X
rna-XM_057805149.1	X	rna-XM_056790608.1	X
rna-XM_057804956.1	X	rna-XM_056790607.1	X
rna-XM_057804994.1	X	rna-XM_056790606.1	X
rna-XM_057805019.1	X	rna-XM_056790605.1	X
rna-XM_057805196.1	X	rna-XM_056790603.1	X
rna-XM_057805161.1	X	rna-XM_056790602.1	X
rna-XM_057805077.1	X	rna-XM_056790601.1	X
rna-XM_057805119.1	X	rna-XM_056790599.1	X
rna-XM_057805006.1	X	rna-XM_056790596.1	X
rna-XM_057804916.1	X	rna-XM_056790594.1	X
rna-XM_057805033.1	X	rna-XM_056789456.1	X
rna-XM_057805088.1	X	rna-XM_056790219.1	X
rna-XM_057805054.1	X	rna-XM_056789308.1	X
rna-XM_057805043.1	X	rna-XM_056789067.1	X
rna-XM_057804983.1	X	rna-XM_056789438.1	X
rna-XM_057814193.1	X	rna-XM_056789225.1	X
rna-XM_057814311.1	X	rna-XM_056789243.1	X
rna-XM_057814357.1	X	rna-XM_056789242.1	X
rna-XM_057800126.1	X	rna-XM_056789978.1	X
rna-XM_057800253.1	X	rna-XM_056789967.1	X
rna-XM_057815684.1	X	rna-XM_056789966.1	X
rna-XM_057814658.1	X	rna-XM_056789959.1	X
rna-XM_057814718.1	X	rna-XM_056789973.1	X
rna-XM_057814731.1	X	rna-XM_056789977.1	X
rna-XM_057814706.1	X	rna-XM_056789968.1	X
rna-XM_057800490.1	X	rna-XM_056789460.1	X
rna-XM_057800624.1	X	rna-XM_056789461.1	X
rna-XM_057802683.1	X	rna-XM_056789178.1	X
rna-XM_057807745.1	X	rna-XM_056790264.1	X
rna-XM_057804028.1	X	rna-XM_056789453.1	X
rna-XM_057807416.1	X	rna-XM_056791009.1	X
rna-XM_057816830.1	X	rna-XM_056789447.1	X
rna-XM_057806431.1	X	rna-XM_056790533.1	X
rna-XM_057797433.1	X	rna-XM_056789408.1	X
rna-XM_057797445.1	X	rna-XM_056789406.1	X
rna-XM_057797462.1	X	rna-XM_056789405.1	X
rna-XM_057798048.1	X	rna-XM_056789038.1	X
rna-XM_057811424.1	X	rna-XM_056790072.1	X
rna-XM_057811364.1	X	rna-XM_056790071.1	X
rna-XM_057811450.1	X	rna-XM_056790073.1	X
rna-XM_057811398.1	X	rna-XM_056789543.1	X
rna-XM_057811386.1	X	rna-XM_056789340.1	X
rna-XM_057811411.1	X	rna-XM_056789339.1	X
rna-XM_057811437.1	X	rna-XM_056789912.1	X
rna-XM_057806571.1	X	rna-XM_056789201.1	X
rna-XM_057806632.1	X	rna-XM_056789592.1	X
rna-XM_057797185.1	X	rna-XM_056789588.1	X
rna-XM_057814095.1	X	rna-XM_056789209.1	X
rna-XM_057799703.1	X	rna-XM_056791090.1	X
rna-XM_057815537.1	X	rna-XM_056791093.1	X
rna-XM_057816637.1	X	rna-XM_056789589.1	X
rna-XM_057816354.1	X	rna-XM_056789025.1	X
rna-XM_057797972.1	X	rna-XM_056789736.1	X
rna-XM_057796559.1	X	rna-XM_056789174.1	X
rna-XM_057796571.1	X	rna-XM_056789175.1	X
rna-XM_057796585.1	X	rna-XM_056789173.1	X
rna-XM_057796548.1	X	rna-XM_056789171.1	X
rna-XM_057809026.1	X	rna-XM_056789616.1	X
rna-XM_057812034.1	X	rna-XM_056789314.1	X
rna-XM_057812022.1	X	rna-XM_056789313.1	X
rna-XM_057807079.1	X	rna-XM_056789768.1	X
rna-XM_057806722.1	X	rna-XM_056789939.1	X
rna-XM_057797357.1	X	rna-XM_056789954.1	X
rna-XM_057797332.1	X	rna-XM_056789953.1	X
rna-XM_057797367.1	X	rna-XM_056789952.1	X
rna-XM_057797354.1	X	rna-XM_056789951.1	X
rna-XM_057797285.1	X	rna-XM_056790918.1	X
rna-XM_057814015.1	X	rna-XM_056790381.1	X
rna-XM_057814064.1	X	rna-XM_056789640.1	X
rna-XM_057811218.1	X	rna-XM_056791132.1	X
rna-XM_057804496.1	X	rna-XM_056789166.1	X
rna-XM_057812283.1	X	rna-XM_056789165.1	X
rna-XM_057812229.1	X	rna-XM_056789159.1	X
rna-XM_057812298.1	X	rna-XM_056789996.1	X
rna-XM_057812320.1	X	rna-XM_056790405.1	X
rna-XM_057802704.1	X	rna-XM_056790385.1	X
rna-XM_057807099.1	X	rna-XM_056790528.1	X
rna-XM_057799650.1	X	rna-XM_056789590.1	X
rna-XM_057809876.1	X	rna-XM_056791227.1	X
rna-XM_057809887.1	X	rna-XM_056789444.1	X
rna-XM_057809938.1	X	rna-XM_056790367.1	X
rna-XM_057809916.1	X	rna-XM_056789750.1	X
rna-XM_057809902.1	X	rna-XM_056789425.1	X
rna-XM_057803483.1	X	rna-XM_056789635.1	X
rna-XM_057801564.1	X	rna-XM_056791224.1	X
rna-XM_057807318.1	X	rna-XM_056789473.1	X
rna-XM_057800911.1	X	rna-XM_056773901.1	A
rna-XM_057812445.1	X	rna-XM_056790982.1	X
rna-XM_057812476.1	X	rna-XM_056790985.1	X
rna-XM_057797205.1	X	rna-XM_056790068.1	X
rna-XM_057810616.1	X	rna-XM_056789129.1	X
rna-XM_057810629.1	X	rna-XM_056789128.1	X
rna-XM_057796400.1	X	rna-XM_056789481.1	X
rna-XM_057808334.1	X	rna-XM_056789748.1	X
rna-XM_057803668.1	X	rna-XM_056790028.1	X
rna-XM_057803644.1	X	rna-XM_056790026.1	X
rna-XM_057803655.1	X	rna-XM_056790027.1	X
rna-XM_057802498.1	X	rna-XM_056790369.1	X
rna-XM_057806581.1	X	rna-XM_056790417.1	X
rna-XM_057802508.1	X	rna-XM_056790278.1	X
rna-XM_057816659.1	X	rna-XM_056789541.1	X
rna-XM_057804472.1	X	rna-XM_056789643.1	X
rna-XM_057803382.1	X	rna-XM_056789641.1	X
rna-XM_057802395.1	X	rna-XM_056789094.1	X
rna-XM_057806418.1	X	rna-XM_056789443.1	X
rna-XM_057801532.1	X	rna-XM_056789484.1	X
rna-XM_057801551.1	X	rna-XM_056791152.1	X
rna-XM_057813802.1	X	rna-XM_056791150.1	X
rna-XM_057813693.1	X	rna-XM_056790018.1	X
rna-XM_057813571.1	X	rna-XM_056789202.1	X
rna-XM_057813603.1	X	rna-XM_056790171.1	X
rna-XM_057813708.1	X	rna-XM_056790175.1	X
rna-XM_057813824.1	X	rna-XM_056790176.1	X
rna-XM_057813835.1	X	rna-XM_056790177.1	X
rna-XM_057813646.1	X	rna-XM_056789117.1	X
rna-XM_057813721.1	X	rna-XM_056774689.1	A
rna-XM_057813745.1	X	rna-XM_056789121.1	X
rna-XM_057797688.1	X	rna-XM_056789306.1	X
rna-XM_057797667.1	X	rna-XM_056789305.1	X
rna-XM_057797700.1	X	rna-XM_056789303.1	X
