D_carinulata	chromosome	C_chinensis	chromosome
rna-XM_057813134.1	X	anno1.g4967.t1	A
rna-XM_057814440.1	X	anno1.g1294.t1	A
rna-XM_057798072.1	X	anno1.g12074.t1	A
rna-XM_057797398.1	X	anno1.g1195.t1	A
rna-XM_057799747.1	X	anno1.g11238.t1	A
rna-XM_057799759.1	X	anno1.g8804.t1	A
rna-XM_057815765.1	X	anno1.g482.t1	A
rna-XM_057802991.1	X	anno1.g484.t1	A
rna-XM_057797824.1	X	anno1.g5794.t1	A
rna-XM_057797813.1	X	anno1.g5793.t1	A
rna-XM_057806304.1	X	anno1.g12141.t1	A
rna-XM_057801362.1	X	anno1.g517.t2	A
rna-XM_057801394.1	X	anno1.g516.t1	A
rna-XM_057801309.1	X	anno1.g9284.t1	A
rna-XM_057801244.1	X	anno1.g12308.t2	A
rna-XM_057801350.1	X	anno1.g13381.t1	A
rna-XM_057801419.1	X	anno1.g5573.t1	A
rna-XM_057801273.1	X	anno1.g8813.t1	A
rna-XM_057801263.1	X	anno1.g9071.t1	A
rna-XM_057801231.1	X	anno1.g5165.t1	A
rna-XM_057801115.1	X	anno1.g12303.t1	A
rna-XM_057797655.1	X	anno1.g729.t1	A
rna-XM_057803979.1	X	anno1.g4817.t1	A
rna-XM_057812831.1	X	anno1.g7339.t2	A
rna-XM_057812894.1	X	anno1.g7813.t1	A
rna-XM_057804561.1	X	anno1.g7812.t3	A
rna-XM_057804764.1	X	anno1.g7206.t1	A
rna-XM_057795578.1	X	anno1.g5833.t1	A
rna-XM_057804707.1	X	anno1.g11925.t1	A
rna-XM_057804620.1	X	anno1.g5846.t1	A
rna-XM_057804601.1	X	anno1.g7208.t1	A
rna-XM_057804572.1	X	anno1.g7207.t1	A
rna-XM_057804668.1	X	anno1.g5305.t2	A
rna-XM_057804638.1	X	anno1.g4326.t1	A
rna-XM_057804656.1	X	anno1.g5387.t1	A
rna-XM_057804737.1	X	anno1.g4322.t1	A
rna-XM_057804680.1	X	anno1.g6142.t1	A
rna-XM_057804695.1	X	anno1.g10779.t1	A
rna-XM_057804728.1	X	anno1.g12616.t1	A
rna-XM_057804719.1	X	anno1.g5862.t1	A
rna-XM_057797524.1	X	anno1.g7024.t1	A
rna-XM_057796443.1	X	anno1.g3808.t2	A
rna-XM_057809688.1	X	anno1.g6925.t1	A
rna-XM_057804840.1	X	anno1.g6924.t1	A
rna-XM_057804828.1	X	anno1.g7473.t2	A
rna-XM_057805107.1	X	anno1.g5864.t1	A
rna-XM_057805149.1	X	anno1.g11039.t1	A
rna-XM_057804956.1	X	anno1.g11038.t1	A
rna-XM_057805019.1	X	anno1.g77.t1	A
rna-XM_057805161.1	X	anno1.g2125.t2	A
