B_varius	chromosome	B_siliquastri	chromosome
anno1.g19.t1	A	BRAKERILHT00000016848	A
anno1.g20.t1	A	BRAKERILHT00000015058	A
anno1.g21.t2	A	BRAKERILHT00000014650	A
anno1.g27.t1	A	BRAKERILHT00000015586	A
anno1.g28.t2	A	BRAKERILHT00000015157	A
anno1.g29.t1	A	BRAKERILHT00000014100	A
anno1.g30.t1	A	BRAKERILHT00000014410	A
anno1.g31.t2	A	BRAKERILHT00000014213	A
anno1.g32.t1	A	BRAKERILHT00000014603	A
anno1.g33.t1	A	BRAKERILHT00000014919	A
anno1.g34.t1	A	BRAKERILHT00000015360	A
anno1.g36.t1	A	BRAKERILHT00000014259	A
anno1.g39.t1	A	BRAKERILHT00000014201	A
anno1.g41.t1	A	BRAKERILHT00000001608	A
anno1.g47.t1	A	BRAKERILHT00000014062	A
anno1.g53.t1	A	BRAKERILHT00000002188	A
anno1.g54.t1	A	BRAKERILHT00000014976	A
anno1.g55.t1	A	BRAKERILHT00000015421	A
anno1.g60.t1	A	BRAKERILHT00000014762	A
anno1.g61.t1	A	BRAKERILHT00000015093	A
anno1.g70.t1	A	BRAKERILHT00000014623	A
anno1.g71.t1	A	BRAKERILHT00000014904	A
anno1.g72.t1	A	BRAKERILHT00000014716	A
anno1.g73.t1	A	BRAKERILHT00000015028	A
anno1.g75.t1	A	BRAKERILHT00000001079	A
anno1.g83.t1	A	BRAKERILHT00000014314	A
anno1.g84.t1	A	BRAKERILHT00000014989	A
anno1.g85.t2	A	BRAKERILHT00000015330	A
anno1.g88.t1	A	BRAKERILHT00000014396	A
anno1.g90.t2	A	BRAKERILHT00000016268	A
anno1.g98.t1	A	BRAKERILHT00000014688	A
anno1.g100.t1	A	BRAKERILHT00000014384	A
anno1.g102.t1	A	BRAKERILHT00000014818	A
anno1.g103.t1	A	BRAKERILHT00000014139	A
anno1.g104.t1	A	BRAKERILHT00000015050	A
anno1.g105.t1	A	BRAKERILHT00000014143	A
anno1.g108.t1	A	BRAKERILHT00000014186	A
anno1.g109.t1	A	BRAKERILHT00000014047	A
anno1.g110.t1	A	BRAKERILHT00000014945	A
anno1.g111.t1	A	BRAKERILHT00000015396	A
anno1.g112.t1	A	BRAKERILHT00000014218	A
anno1.g113.t1	A	BRAKERILHT00000014040	A
anno1.g115.t1	A	BRAKERILHT00000014354	A
anno1.g116.t1	A	BRAKERILHT00000014132	A
anno1.g117.t1	A	BRAKERILHT00000014590	A
anno1.g119.t2	A	BRAKERILHT00000015519	A
anno1.g120.t1	A	BRAKERILHT00000014393	A
anno1.g121.t4	A	BRAKERILHT00000015302	A
anno1.g122.t1	A	BRAKERILHT00000014835	A
anno1.g123.t1	A	BRAKERILHT00000014806	A
anno1.g125.t1	A	BRAKERILHT00000015517	A
anno1.g126.t1	A	BRAKERILHT00000015085	A
anno1.g127.t1	A	BRAKERILHT00000015471	A
anno1.g128.t1	A	BRAKERILHT00000015089	A
anno1.g129.t1	A	BRAKERILHT00000014666	A
anno1.g130.t1	A	BRAKERILHT00000015108	A
anno1.g131.t1	A	BRAKERILHT00000015493	A
anno1.g132.t1	A	BRAKERILHT00000014542	A
anno1.g133.t1	A	BRAKERILHT00000014993	A
anno1.g134.t1	A	BRAKERILHT00000014115	A
anno1.g135.t1	A	BRAKERILHT00000015536	A
anno1.g136.t1	A	BRAKERILHT00000015151	A
anno1.g137.t2	A	BRAKERILHT00000014804	A
anno1.g138.t1	A	BRAKERILHT00000013609	A
anno1.g139.t1	A	BRAKERILHT00000014288	A
anno1.g140.t1	A	BRAKERILHT00000014347	A
anno1.g142.t1	A	BRAKERILHT00000015589	A
anno1.g145.t1	A	BRAKERILHT00000015401	A
anno1.g146.t1	A	BRAKERILHT00000014875	A
anno1.g147.t1	A	BRAKERILHT00000015277	A
anno1.g148.t1	A	BRAKERILHT00000014549	A
anno1.g151.t1	A	BRAKERILHT00000015055	A
