CAVLJG010000005.1 88453089 88459360 949_quiver 40761 44179 color=lorange
CAVLJG010000233.1 44594 58380 1090_quiver 32064 40490 color=lorange
CAVLJG010000233.1 44594 58380 1090_quiver 32064 40490 color=lorange
CAVLJG010000233.1 44594 58380 1090_quiver 32064 40490 color=lorange
CAVLJG010000566.1 17870 57458 1090_quiver 32064 40490 color=lorange
CAVLJG010000566.1 17870 57458 1090_quiver 32064 40490 color=lorange
CAVLJG010002896.1 190280 256300 1090_quiver 32064 40490 color=lorange
CAVLJG010002896.1 190280 256300 1090_quiver 32064 40490 color=lorange
CAVLJG010002896.1 190280 256300 1090_quiver 32064 40490 color=lorange
CAVLJG010002896.1 190280 256300 1090_quiver 32064 40490 color=lorange
CAVLJG010002896.1 190280 256300 1090_quiver 32064 40490 color=lorange
