A_obtectus	chromosome	D_carinulata	chromosome
anno1.g1.t1	A	rna-XM_057799372.1	A
anno1.g2.t1	A	rna-XM_057808275.1	A
anno1.g3.t1	A	rna-XM_057798049.1	A
anno1.g4.t1	A	rna-XM_057798050.1	A
anno1.g5.t1	A	rna-XM_057799202.1	A
anno1.g6.t1	A	rna-XM_057796746.1	A
anno1.g7.t7	A	rna-XM_057799546.1	A
anno1.g10.t1	A	rna-XM_057806935.1	A
anno1.g11.t1	A	rna-XM_057799566.1	A
anno1.g12.t1	A	rna-XM_057798091.1	A
anno1.g14.t1	A	rna-XM_057796787.1	A
anno1.g17.t1	A	rna-XM_057796213.1	A
anno1.g18.t1	A	rna-XM_057795836.1	A
anno1.g19.t1	A	rna-XM_057796139.1	A
anno1.g20.t1	A	rna-XM_057795854.1	A
anno1.g21.t1	A	rna-XM_057796216.1	A
anno1.g22.t1	A	rna-XM_057796206.1	A
anno1.g23.t1	A	rna-XM_057798530.1	A
anno1.g24.t1	A	rna-XM_057797101.1	A
anno1.g25.t1	A	rna-XM_057800483.1	A
anno1.g29.t2	A	rna-XM_057800508.1	A
anno1.g37.t1	A	rna-XM_057808582.1	A
anno1.g38.t1	A	rna-XM_057811104.1	A
anno1.g39.t2	A	rna-XM_057816488.1	A
anno1.g40.t1	A	rna-XM_057816487.1	A
anno1.g43.t1	A	rna-XM_057811483.1	A
anno1.g44.t2	A	rna-XM_057799398.1	A
anno1.g46.t1	A	rna-XM_057800504.1	A
anno1.g47.t1	A	rna-XM_057800507.1	A
anno1.g54.t1	A	rna-XM_057799031.1	A
anno1.g55.t1	A	rna-XM_057806941.1	A
anno1.g56.t1	A	rna-XM_057806724.1	A
anno1.g57.t1	A	rna-XM_057807069.1	A
anno1.g58.t1	A	rna-XM_057796455.1	A
anno1.g61.t1	A	rna-XM_057796884.1	A
anno1.g62.t1	A	rna-XM_057796887.1	A
anno1.g63.t1	A	rna-XM_057796353.1	A
anno1.g64.t1	A	rna-XM_057801402.1	A
anno1.g65.t1	A	rna-XM_057816160.1	A
anno1.g66.t1	A	rna-XM_057799246.1	A
anno1.g67.t1	A	rna-XM_057808576.1	A
anno1.g69.t1	A	rna-XM_057799248.1	A
anno1.g70.t1	A	rna-XM_057799244.1	A
anno1.g71.t1	A	rna-XM_057799240.1	A
anno1.g76.t1	A	rna-XM_057804443.1	A
anno1.g78.t3	A	rna-XM_057813836.1	A
anno1.g81.t1	A	rna-XM_057796221.1	A
anno1.g82.t1	A	rna-XM_057798536.1	A
anno1.g83.t1	A	rna-XM_057796195.1	A
anno1.g85.t1	A	rna-XM_057797950.1	A
anno1.g89.t2	A	rna-XM_057797450.1	A
anno1.g90.t1	A	rna-XM_057803142.1	A
anno1.g91.t1	A	rna-XM_057798922.1	A
anno1.g92.t2	A	rna-XM_057798918.1	A
anno1.g93.t1	A	rna-XM_057798915.1	A
anno1.g94.t1	A	rna-XM_057798914.1	A
anno1.g95.t1	A	rna-XM_057798910.1	A
anno1.g96.t1	A	rna-XM_057798926.1	A
anno1.g97.t1	A	rna-XM_057798924.1	A
anno1.g98.t1	A	rna-XM_057802321.1	A
anno1.g99.t1	A	rna-XM_057811807.1	A
anno1.g100.t1	A	rna-XM_057799358.1	A
anno1.g101.t1	A	rna-XM_057799070.1	A
anno1.g102.t1	A	rna-XM_057801477.1	A
anno1.g104.t1	A	rna-XM_057802495.1	A
anno1.g105.t1	A	rna-XM_057799368.1	A
anno1.g106.t1	A	rna-XM_057799369.1	A
anno1.g107.t1	A	rna-XM_057808921.1	A
anno1.g109.t1	A	rna-XM_057799370.1	A
anno1.g110.t1	A	rna-XM_057797532.1	A
anno1.g111.t1	A	rna-XM_057797911.1	A
anno1.g112.t1	A	rna-XM_057795790.1	A
anno1.g113.t1	A	rna-XM_057797534.1	A
anno1.g114.t1	A	rna-XM_057796264.1	A
anno1.g115.t1	A	rna-XM_057795785.1	A
anno1.g116.t1	A	rna-XM_057795783.1	A
anno1.g117.t1	A	rna-XM_057795907.1	A
anno1.g118.t1	A	rna-XM_057796771.1	A
anno1.g121.t1	A	rna-XM_057795863.1	A
anno1.g123.t1	A	rna-XM_057796002.1	A
anno1.g125.t1	A	rna-XM_057803174.1	A
anno1.g126.t1	A	rna-XM_057796175.1	A
anno1.g130.t1	A	rna-XM_057796154.1	A
anno1.g131.t3	A	rna-XM_057806007.1	A
anno1.g139.t1	A	rna-XM_057802784.1	A
anno1.g149.t1	A	rna-XM_057814016.1	A
