D_sublineata	chromosome	B_varius	chromosome
rna-XM_056785268.1	A	anno1.g6132.t1	A
rna-XM_056788293.1	A	anno1.g361.t1	A
rna-XM_056785296.1	A	anno1.g362.t2	A
rna-XM_056785225.1	A	anno1.g360.t1	A
rna-XM_056785239.1	A	anno1.g359.t2	A
rna-XM_056785203.1	A	anno1.g1494.t1	A
rna-XM_056785540.1	A	anno1.g2892.t1	A
rna-XM_056785728.1	A	anno1.g2895.t1	A
rna-XM_056792928.1	A	anno1.g2894.t2	A
rna-XM_056791897.1	A	anno1.g2897.t2	A
rna-XM_056791900.1	A	anno1.g4898.t1	A
rna-XM_056784114.1	A	anno1.g354.t1	A
rna-XM_056776645.1	A	anno1.g352.t1	A
rna-XM_056776666.1	A	anno1.g6550.t1	A
rna-XM_056781619.1	A	anno1.g1546.t1	A
rna-XM_056775509.1	A	anno1.g3584.t2	A
rna-XM_056775549.1	A	anno1.g3586.t1	A
rna-XM_056782134.1	A	anno1.g3510.t1	A
rna-XM_056782145.1	A	anno1.g3504.t1	A
rna-XM_056782158.1	A	anno1.g9856.t1	A
rna-XM_056782215.1	A	anno1.g8540.t1	A
rna-XM_056782228.1	A	anno1.g8525.t1	A
rna-XM_056782202.1	A	anno1.g9583.t1	A
rna-XM_056782179.1	A	anno1.g8557.t1	A
rna-XM_056782248.1	A	anno1.g8556.t1	A
rna-XM_056779996.1	A	anno1.g8555.t1	A
rna-XM_056785964.1	A	anno1.g8554.t2	A
rna-XM_056785983.1	A	anno1.g8553.t3	A
rna-XM_056786017.1	A	anno1.g8552.t1	A
rna-XM_056786027.1	A	anno1.g8551.t1	A
rna-XM_056786040.1	A	anno1.g8550.t1	A
rna-XM_056788311.1	A	anno1.g8548.t1	A
rna-XM_056786069.1	A	anno1.g8546.t1	A
rna-XM_056786106.1	A	anno1.g1195.t1	A
rna-XM_056786119.1	A	anno1.g8531.t1	A
rna-XM_056786131.1	A	anno1.g5932.t1	A
rna-XM_056786144.1	A	anno1.g6520.t1	A
rna-XM_056786162.1	A	anno1.g3963.t3	A
rna-XM_056786174.1	A	anno1.g3630.t1	A
rna-XM_056786188.1	A	anno1.g3964.t1	A
rna-XM_056786210.1	A	anno1.g3965.t1	A
rna-XM_056786223.1	A	anno1.g3966.t1	A
rna-XM_056786245.1	A	anno1.g1547.t1	A
rna-XM_056786351.1	A	anno1.g4989.t1	A
rna-XM_056786337.1	A	anno1.g707.t1	A
rna-XM_056786289.1	A	anno1.g886.t1	A
rna-XM_056786277.1	A	anno1.g706.t1	A
rna-XM_056786317.1	A	anno1.g1412.t1	A
rna-XM_056786371.1	A	anno1.g2757.t1	A
rna-XM_056786383.1	A	anno1.g5890.t2	A
rna-XM_056786393.1	A	anno1.g5889.t1	A
rna-XM_056786423.1	A	anno1.g10563.t1	A
rna-XM_056786473.1	A	anno1.g2244.t1	A
rna-XM_056786405.1	A	anno1.g1411.t1	A
rna-XM_056786438.1	A	anno1.g3108.t1	A
rna-XM_056786462.1	A	anno1.g10484.t1	A
rna-XM_056786450.1	A	anno1.g9591.t1	A
rna-XM_056786540.1	A	anno1.g7453.t1	A
rna-XM_056786529.1	A	anno1.g7454.t1	A
rna-XM_056786585.1	A	anno1.g5369.t1	A
rna-XM_056786572.1	A	anno1.g6649.t2	A
rna-XM_056786598.1	A	anno1.g6650.t1	A
rna-XM_056786626.1	A	anno1.g3235.t1	A
rna-XM_056786647.1	A	anno1.g6651.t1	A
rna-XM_056786618.1	A	anno1.g7239.t1	A
rna-XM_056786635.1	A	anno1.g4920.t1	A
rna-XM_056788549.1	A	anno1.g6904.t1	A
rna-XM_056786638.1	A	anno1.g5976.t1	A
rna-XM_056786652.1	A	anno1.g10639.t3	A
rna-XM_056786666.1	A	anno1.g6044.t1	A
rna-XM_056786680.1	A	anno1.g9169.t1	A
rna-XM_056786708.1	A	anno1.g6177.t1	A
rna-XM_056786721.1	A	anno1.g1951.t1	A
rna-XM_056786730.1	A	anno1.g11360.t1	A
rna-XM_056786755.1	A	anno1.g11363.t1	A
rna-XM_056786768.1	A	anno1.g8864.t1	A
rna-XM_056786742.1	A	anno1.g2243.t1	A
rna-XM_056786781.1	A	anno1.g5065.t1	A
rna-XM_056788779.1	A	anno1.g5063.t1	A
rna-XM_056774270.1	A	anno1.g450.t1	A
rna-XM_056785673.1	A	anno1.g4899.t1	A
rna-XM_056785686.1	A	anno1.g10854.t1	A
rna-XM_056791494.1	A	anno1.g12262.t1	X
rna-XM_056791488.1	A	anno1.g11288.t1	A
rna-XM_056791503.1	A	anno1.g634.t1	A
rna-XM_056791498.1	A	anno1.g10830.t1	A
rna-XM_056791512.1	A	anno1.g9872.t1	A
rna-XM_056791538.1	A	anno1.g9867.t1	A
rna-XM_056791554.1	A	anno1.g1201.t1	A
rna-XM_056791546.1	A	anno1.g5975.t3	A
rna-XM_056791550.1	A	anno1.g10726.t1	A
rna-XM_056775190.1	A	anno1.g9168.t1	A
rna-XM_056775202.1	A	anno1.g7503.t1	A
rna-XM_056775235.1	A	anno1.g8566.t1	A
rna-XM_056781587.1	A	anno1.g6715.t1	A
rna-XM_056784741.1	A	anno1.g6714.t1	A
rna-XM_056784730.1	A	anno1.g2784.t1	A
rna-XM_056785645.1	A	anno1.g856.t1	A
rna-XM_056791937.1	A	anno1.g384.t1	A
rna-XM_056791951.1	A	anno1.g7184.t1	A
rna-XM_056779975.1	A	anno1.g7178.t1	A
rna-XM_056777002.1	A	anno1.g7180.t1	A
rna-XM_056788462.1	A	anno1.g7181.t1	A
rna-XM_056788747.1	A	anno1.g6707.t1	A
rna-XM_056788976.1	A	anno1.g7674.t1	A
rna-XM_056789743.1	A	anno1.g7675.t1	A
rna-XM_056789846.1	A	anno1.g11358.t1	A
rna-XM_056790021.1	A	anno1.g11359.t1	A
rna-XM_056790387.1	A	anno1.g4806.t1	A
rna-XM_056790274.1	A	anno1.g4838.t1	A
rna-XM_056790505.1	A	anno1.g4837.t1	A
rna-XM_056790629.1	A	anno1.g11357.t1	A
rna-XM_056791072.1	A	anno1.g11366.t1	A
rna-XM_056791391.1	A	anno1.g11365.t1	A
rna-XM_056791276.1	A	anno1.g11364.t1	A
rna-XM_056791336.1	A	anno1.g11362.t1	A
rna-XM_056791207.1	A	anno1.g8863.t1	A
rna-XM_056790951.1	A	anno1.g11356.t1	A
rna-XM_056790828.1	A	anno1.g11339.t1	A
rna-XM_056785330.1	A	anno1.g11345.t1	A
rna-XM_056785350.1	A	anno1.g3802.t1	A
rna-XM_056779406.1	A	anno1.g8859.t1	A
rna-XM_056776346.1	A	anno1.g6285.t1	A
rna-XM_056774666.1	A	anno1.g11352.t1	A
rna-XM_056774679.1	A	anno1.g3793.t1	A
rna-XM_056774690.1	A	anno1.g3421.t1	A
rna-XM_056784710.1	A	anno1.g3365.t1	A
rna-XM_056779312.1	A	anno1.g3367.t1	A
rna-XM_056776045.1	A	anno1.g3369.t1	A
rna-XM_056792863.1	A	anno1.g8861.t1	A
rna-XM_056779834.1	A	anno1.g8862.t1	A
rna-XM_056776583.1	A	anno1.g8532.t1	A
rna-XM_056779419.1	A	anno1.g5589.t1	A
rna-XM_056779437.1	A	anno1.g5590.t1	A
rna-XM_056791564.1	A	anno1.g9421.t1	A
rna-XM_056791567.1	A	anno1.g623.t1	A
rna-XM_056787238.1	A	anno1.g3344.t2	A
rna-XM_056790290.1	A	anno1.g11394.t1	A
rna-XM_056790303.1	A	anno1.g11413.t1	A
rna-XM_056790246.1	A	anno1.g11414.t1	A
rna-XM_056790234.1	A	anno1.g633.t1	A
rna-XM_056780388.1	A	anno1.g4400.t3	A
rna-XM_056784180.1	A	anno1.g2275.t1	A
rna-XM_056784151.1	A	anno1.g876.t1	A
rna-XM_056778539.1	A	anno1.g4565.t2	A
rna-XM_056787130.1	A	anno1.g2590.t1	A
rna-XM_056787452.1	A	anno1.g4564.t1	A
rna-XM_056787252.1	A	anno1.g6706.t1	A
rna-XM_056791389.1	A	anno1.g8835.t1	A
rna-XM_056789293.1	A	anno1.g8836.t1	A
rna-XM_056784244.1	A	anno1.g7863.t1	A
rna-XM_056776949.1	A	anno1.g6647.t2	A
rna-XM_056776329.1	A	anno1.g8270.t1	A
rna-XM_056793039.1	A	anno1.g10205.t1	A
rna-XM_056793173.1	A	anno1.g6211.t3	A
rna-XM_056773552.1	A	anno1.g5741.t1	A
rna-XM_056793065.1	A	anno1.g6746.t1	A
rna-XM_056773567.1	A	anno1.g7512.t1	A
rna-XM_056773597.1	A	anno1.g7514.t1	A
rna-XM_056784261.1	A	anno1.g6974.t1	A
rna-XM_056780981.1	A	anno1.g5535.t1	A
rna-XM_056781008.1	A	anno1.g5534.t1	A
rna-XM_056785541.1	A	anno1.g5539.t1	A
rna-XM_056784346.1	A	anno1.g5540.t2	A
rna-XM_056784224.1	A	anno1.g5543.t1	A
