C_chinensis	chromosome	D_sublineata	chromosome
anno1.g4945.t2	A	rna-XM_056779552.1	A
anno1.g4947.t1	A	rna-XM_056779179.1	A
anno1.g4948.t2	A	rna-XM_056778890.1	A
anno1.g4949.t1	A	rna-XM_056776313.1	A
anno1.g4939.t1	A	rna-XM_056776375.1	A
anno1.g4914.t2	A	rna-XM_056780950.1	A
anno1.g4915.t1	A	rna-XM_056780547.1	A
anno1.g4917.t1	A	rna-XM_056791796.1	A
anno1.g4918.t1	A	rna-XM_056785399.1	A
anno1.g4919.t1	A	rna-XM_056784486.1	A
anno1.g4920.t1	A	rna-XM_056786822.1	A
anno1.g4921.t1	A	rna-XM_056784488.1	A
anno1.g4922.t1	A	rna-XM_056786537.1	A
anno1.g4923.t2	A	rna-XM_056786184.1	A
anno1.g4924.t1	A	rna-XM_056778865.1	A
anno1.g4925.t1	A	rna-XM_056785845.1	A
anno1.g4929.t1	A	rna-XM_056787633.1	A
anno1.g4931.t2	A	rna-XM_056779620.1	A
anno1.g4932.t1	A	rna-XM_056785325.1	A
anno1.g4933.t1	A	rna-XM_056785326.1	A
anno1.g4934.t1	A	rna-XM_056782515.1	A
anno1.g4935.t1	A	rna-XM_056785327.1	A
anno1.g4936.t2	A	rna-XM_056784820.1	A
anno1.g4911.t2	A	rna-XM_056782913.1	A
anno1.g4913.t1	A	rna-XM_056781979.1	A
anno1.g4893.t1	A	rna-XM_056785477.1	A
anno1.g4894.t1	A	rna-XM_056781063.1	A
anno1.g4895.t2	A	rna-XM_056781059.1	A
anno1.g4896.t1	A	rna-XM_056781066.1	A
anno1.g4897.t1	A	rna-XM_056781067.1	A
anno1.g4898.t1	A	rna-XM_056780923.1	A
anno1.g4899.t1	A	rna-XM_056781058.1	A
anno1.g4900.t1	A	rna-XM_056781057.1	A
anno1.g4901.t1	A	rna-XM_056784493.1	A
anno1.g4902.t1	A	rna-XM_056781484.1	A
anno1.g4903.t1	A	rna-XM_056781552.1	A
anno1.g4904.t1	A	rna-XM_056781551.1	A
anno1.g4905.t1	A	rna-XM_056781553.1	A
anno1.g4880.t1	A	rna-XM_056777110.1	A
anno1.g4881.t2	A	rna-XM_056780097.1	A
anno1.g4882.t1	A	rna-XM_056791550.1	A
anno1.g4884.t1	A	rna-XM_056785431.1	A
anno1.g4885.t1	A	rna-XM_056774340.1	A
anno1.g4886.t1	A	rna-XM_056792118.1	A
anno1.g4887.t1	A	rna-XM_056792123.1	A
anno1.g4889.t1	A	rna-XM_056787698.1	A
anno1.g4877.t1	A	rna-XM_056775560.1	A
anno1.g10458.t1	A	rna-XM_056781373.1	A
