B_varius	chromosome	A_obtectus	chromosome
anno1.g19.t1	A	anno1.g11873.t1	A
anno1.g20.t1	A	anno1.g13066.t3	A
anno1.g21.t2	A	anno1.g13067.t2	A
anno1.g27.t1	A	anno1.g13072.t1	A
anno1.g28.t2	A	anno1.g13073.t2	A
anno1.g29.t1	A	anno1.g13074.t1	A
anno1.g30.t1	A	anno1.g13076.t1	A
anno1.g31.t2	A	anno1.g13077.t1	A
anno1.g33.t1	A	anno1.g13081.t1	A
anno1.g34.t1	A	anno1.g13082.t1	A
anno1.g36.t1	A	anno1.g13091.t1	A
anno1.g39.t1	A	anno1.g13086.t1	A
anno1.g44.t1	A	anno1.g13083.t1	A
anno1.g45.t1	A	anno1.g13090.t2	A
anno1.g46.t1	A	anno1.g1070.t1	A
anno1.g47.t1	A	anno1.g13089.t1	A
anno1.g52.t1	A	anno1.g3227.t1	A
anno1.g53.t1	A	anno1.g2542.t1	A
anno1.g54.t1	A	anno1.g13102.t1	A
anno1.g55.t1	A	anno1.g13088.t1	A
anno1.g60.t1	A	anno1.g13101.t1	A
anno1.g61.t1	A	anno1.g13116.t2	A
anno1.g70.t1	A	anno1.g13119.t2	A
anno1.g71.t1	A	anno1.g13120.t1	A
anno1.g72.t1	A	anno1.g13121.t1	A
anno1.g82.t1	A	anno1.g12841.t1	A
anno1.g83.t1	A	anno1.g12842.t1	A
anno1.g84.t1	A	anno1.g12843.t1	A
anno1.g85.t2	A	anno1.g12844.t2	A
anno1.g90.t2	A	anno1.g13928.t1	A
anno1.g98.t1	A	anno1.g12836.t1	A
anno1.g99.t1	A	anno1.g6086.t1	A
anno1.g102.t1	A	anno1.g12854.t1	A
anno1.g103.t1	A	anno1.g12860.t1	A
anno1.g104.t1	A	anno1.g12861.t1	A
anno1.g105.t1	A	anno1.g12862.t1	A
anno1.g106.t1	A	anno1.g12856.t1	A
anno1.g107.t1	A	anno1.g12864.t1	A
anno1.g108.t1	A	anno1.g12866.t1	A
anno1.g109.t1	A	anno1.g12865.t1	A
anno1.g110.t1	A	anno1.g12868.t1	A
anno1.g111.t1	A	anno1.g12872.t1	A
anno1.g112.t1	A	anno1.g12869.t1	A
anno1.g113.t1	A	anno1.g12874.t1	A
anno1.g114.t1	A	anno1.g12879.t1	A
anno1.g115.t1	A	anno1.g12885.t1	A
anno1.g116.t1	A	anno1.g12889.t1	A
anno1.g117.t1	A	anno1.g12888.t1	A
anno1.g118.t1	A	anno1.g12887.t1	A
anno1.g119.t2	A	anno1.g12886.t1	A
anno1.g120.t1	A	anno1.both_agree_g26688.t1	A
anno1.g121.t4	A	anno1.g12890.t3	A
anno1.g122.t1	A	anno1.g12891.t1	A
anno1.g123.t1	A	anno1.g12892.t1	A
anno1.g125.t1	A	anno1.g12894.t1	A
anno1.g126.t1	A	anno1.g12895.t1	A
anno1.g127.t1	A	anno1.g12896.t1	A
anno1.g128.t1	A	anno1.g12897.t1	A
anno1.g129.t1	A	anno1.g12899.t1	A
anno1.g131.t1	A	anno1.g12900.t1	A
anno1.g132.t1	A	anno1.g12901.t1	A
anno1.g133.t1	A	anno1.g12902.t1	A
anno1.g134.t1	A	anno1.g12903.t1	A
anno1.g135.t1	A	anno1.g12904.t1	A
anno1.g136.t1	A	anno1.g12905.t1	A
anno1.g137.t2	A	anno1.g12906.t1	A
anno1.g138.t1	A	anno1.g10293.t1	A
anno1.g139.t1	A	anno1.g12907.t1	A
anno1.g140.t1	A	anno1.g12908.t1	A
anno1.g142.t1	A	anno1.g12910.t1	A
anno1.g144.t1	A	anno1.g12912.t1	A
anno1.g145.t1	A	anno1.g12914.t1	A
anno1.g151.t1	A	anno1.g12923.t1	A
anno1.g153.t3	A	anno1.g12925.t1	A
anno1.g159.t2	A	anno1.g12928.t2	A
anno1.g160.t1	A	anno1.g12929.t1	A
anno1.g161.t1	A	anno1.g12930.t1	A
anno1.g162.t1	A	anno1.g12931.t1	A
anno1.g163.t1	A	anno1.g12932.t1	A
anno1.g164.t2	A	anno1.g12933.t1	A
anno1.g165.t1	A	anno1.g12934.t1	A
anno1.g166.t1	A	anno1.g12935.t1	A
anno1.g167.t1	A	anno1.g12936.t1	A
anno1.g168.t1	A	anno1.g12937.t4	A
anno1.g169.t1	A	anno1.g12938.t1	A
anno1.g170.t1	A	anno1.g12939.t1	A
anno1.g171.t1	A	anno1.g12940.t1	A
anno1.g172.t1	A	anno1.g12941.t1	A
anno1.g173.t1	A	anno1.g12942.t1	A
anno1.g175.t1	A	anno1.g13111.t1	A
anno1.g176.t1	A	anno1.g13109.t1	A
anno1.g177.t1	A	anno1.g12994.t1	A
anno1.g178.t1	A	anno1.g12995.t3	A
anno1.g179.t1	A	anno1.g12993.t1	A
anno1.g180.t1	A	anno1.g12992.t1	A
anno1.g181.t1	A	anno1.g12990.t1	A
anno1.g182.t1	A	anno1.g12989.t1	A
anno1.g184.t1	A	anno1.g14443.t1	A
anno1.g186.t2	A	anno1.g12988.t3	A
anno1.g187.t1	A	anno1.g13048.t1	A
anno1.g189.t1	A	anno1.g13049.t1	A
anno1.g190.t1	A	anno1.g104.t1	A
anno1.g192.t1	A	anno1.g13051.t1	A
anno1.g193.t1	A	anno1.g13053.t1	A
anno1.g194.t1	A	anno1.g13052.t1	A
anno1.g195.t1	A	anno1.g13054.t1	A
anno1.g196.t1	A	anno1.g13055.t1	A
anno1.g197.t1	A	anno1.g13056.t1	A
anno1.g198.t1	A	anno1.g13057.t1	A
anno1.g199.t1	A	anno1.g13058.t1	A
anno1.g200.t1	A	anno1.g13059.t2	A
anno1.g202.t1	A	anno1.g14435.t1	A
anno1.g203.t1	A	anno1.g13046.t1	A
anno1.g204.t1	A	anno1.g13114.t1	A
anno1.g205.t1	A	anno1.g13112.t1	A
anno1.g206.t1	A	anno1.g13110.t1	A
anno1.g207.t1	A	anno1.g13042.t1	A
anno1.g210.t1	A	anno1.g13043.t1	A
anno1.g211.t2	A	anno1.g13044.t1	A
anno1.g212.t2	A	anno1.g13045.t1	A
anno1.g216.t2	A	anno1.g13009.t3	A
anno1.g217.t1	A	anno1.g13012.t1	A
anno1.g218.t1	A	anno1.g12361.t1	A
anno1.g219.t1	A	anno1.g12362.t1	A
