C_maculatus	chromosome	B_varius	chromosome
g6.t1	A	anno1.g2776.t2	A
g7.t1	A	anno1.g2775.t1	A
g8.t1	A	anno1.g2786.t1	A
g10.t1	A	anno1.g2787.t1	A
g11.t1	A	anno1.g2788.t1	A
g12.t1	A	anno1.g2789.t1	A
g13.t1	A	anno1.g2790.t2	A
g14.t1	A	anno1.g2780.t1	A
g15.t1	A	anno1.g2781.t2	A
g16.t1	A	anno1.g2826.t1	A
g17.t1	A	anno1.g2827.t1	A
g18.t1	A	anno1.g2828.t3	A
g21.t2	A	anno1.g2829.t1	A
g23.t1	A	anno1.g11451.t1	A
g29.t1	A	anno1.g2842.t1	A
g30.t1	A	anno1.g2843.t1	A
g31.t1	A	anno1.g2844.t1	A
g32.t1	A	anno1.g2845.t1	A
g35.t1	A	anno1.g2846.t1	A
g36.t1	A	anno1.g2847.t1	A
g37.t1	A	anno1.g2848.t1	A
g41.t1	A	anno1.g6846.t1	A
g43.t1	A	anno1.g3433.t1	A
g56.t1	A	anno1.g3355.t1	A
g61.t1	A	anno1.g3352.t1	A
g62.t1	A	anno1.g3351.t1	A
g63.t1	A	anno1.g3349.t1	A
g64.t1	A	anno1.g3348.t1	A
g65.t2	A	anno1.g3347.t1	A
g66.t1	A	anno1.g3346.t1	A
g67.t1	A	anno1.g3345.t1	A
g69.t2	A	anno1.g3344.t2	A
g71.t1	A	anno1.g3343.t1	A
g72.t1	A	anno1.g3341.t1	A
g73.t1	A	anno1.g3340.t1	A
g74.t1	A	anno1.g3339.t1	A
g80.t5	A	anno1.g3338.t2	A
g83.t1	A	anno1.g3335.t1	A
g84.t1	A	anno1.g3334.t1	A
g85.t1	A	anno1.g3333.t1	A
g86.t1	A	anno1.g3331.t1	A
g90.t1	A	anno1.g3330.t1	A
g91.t1	A	anno1.g3329.t1	A
g94.t1	A	anno1.g3325.t1	A
g95.t1	A	anno1.g3324.t1	A
g96.t1	A	anno1.g3323.t1	A
g98.t1	A	anno1.g3322.t1	A
g99.t1	A	anno1.g3321.t1	A
g103.t2	A	anno1.g3320.t3	A
g104.t1	A	anno1.g3318.t1	A
g106.t1	A	anno1.g3313.t1	A
g107.t1	A	anno1.g3311.t1	A
g108.t1	A	anno1.g11581.t1	X
g109.t1	A	anno1.g4156.t1	A
g110.t1	A	anno1.g7428.t1	A
g111.t1	A	anno1.g3306.t1	A
g112.t1	A	anno1.g3305.t1	A
g113.t1	A	anno1.g11706.t1	X
g115.t1	A	anno1.g3303.t1	A
g117.t1	A	anno1.g3304.t1	A
g120.t1	A	anno1.g3300.t1	A
g121.t1	A	anno1.g3299.t1	A
g122.t1	A	anno1.g3298.t1	A
g124.t1	A	anno1.g3297.t1	A
g125.t1	A	anno1.g3296.t1	A
g126.t1	A	anno1.g3295.t1	A
g128.t1	A	anno1.g3294.t1	A
g131.t1	A	anno1.g3213.t1	A
g132.t1	A	anno1.g3289.t1	A
g133.t1	A	anno1.g3288.t1	A
g134.t1	A	anno1.g3287.t1	A
g136.t2	A	anno1.g3286.t1	A
g137.t1	A	anno1.g584.t1	A
g138.t1	A	anno1.g3203.t1	A
g139.t1	A	anno1.g10301.t2	A
g140.t1	A	anno1.g3400.t1	A
g141.t1	A	anno1.g3205.t1	A
g142.t1	A	anno1.g3206.t1	A
g143.t1	A	anno1.g3208.t1	A
g144.t1	A	anno1.g3209.t1	A
g145.t2	A	anno1.g2823.t2	A
g146.t1	A	anno1.g2824.t1	A
g147.t2	A	anno1.g2825.t1	A
g148.t1	A	anno1.g2822.t1	A
g149.t2	A	anno1.g2821.t1	A
g151.t1	A	anno1.g2818.t1	A
g152.t1	A	anno1.g2816.t2	A
g153.t1	A	anno1.g2815.t1	A
g155.t1	A	anno1.g2814.t1	A
g157.t2	A	anno1.g2812.t2	A
g164.t1	A	anno1.g2805.t1	A
g169.t1	A	anno1.g3180.t2	A
g170.t1	A	anno1.g3179.t1	A
g171.t1	A	anno1.g3178.t1	A
g172.t1	A	anno1.g3177.t1	A
g173.t1	A	anno1.g3176.t1	A
g174.t1	A	anno1.g3175.t1	A
g176.t1	A	anno1.g3174.t1	A
g177.t1	A	anno1.g3173.t1	A
g181.t1	A	anno1.g3172.t2	A
g182.t2	A	anno1.g3171.t2	A
g183.t1	A	anno1.g3170.t4	A
g184.t1	A	anno1.g3169.t1	A
g185.t1	A	anno1.g3167.t1	A
g186.t1	A	anno1.g3166.t1	A
g187.t1	A	anno1.g3165.t1	A
g188.t1	A	anno1.g3164.t1	A
g191.t1	A	anno1.g3162.t1	A
g192.t1	A	anno1.g2358.t1	A
g193.t1	A	anno1.g3160.t1	A
g195.t1	A	anno1.g3161.t1	A
g199.t1	A	anno1.g3159.t1	A
g200.t1	A	anno1.g3158.t1	A
g201.t1	A	anno1.g3157.t1	A
g203.t1	A	anno1.g3152.t1	A
g204.t1	A	anno1.g3151.t1	A
