D_sublineata	chromosome	C_maculatus	chromosome
rna-XM_056785268.1	A	g12703.t1	A
rna-XM_056788293.1	A	g2271.t2	A
rna-XM_056785296.1	A	g5383.t2	A
rna-XM_056785225.1	A	g5381.t1	A
rna-XM_056785239.1	A	g5380.t2	A
rna-XM_056785203.1	A	g3351.t1	A
rna-XM_056785540.1	A	g505.t1	A
rna-XM_056785728.1	A	g509.t1	A
rna-XM_056792928.1	A	g508.t1	A
rna-XM_056791897.1	A	g510.t2	A
rna-XM_056791900.1	A	g9208.t1	A
rna-XM_056784138.1	A	g8176.t1	A
rna-XM_056784114.1	A	g5376.t1	A
rna-XM_056788300.1	A	g5373.t1	A
rna-XM_056776645.1	A	g9421.t1	A
rna-XM_056776666.1	A	g11527.t1	A
rna-XM_056781619.1	A	g7415.t1	A
rna-XM_056775549.1	A	g7783.t1	A
rna-XM_056782134.1	A	g7729.t1	A
rna-XM_056782145.1	A	g7723.t2	A
rna-XM_056782158.1	A	g4397.t1	A
rna-XM_056782215.1	A	g6470.t1	A
rna-XM_056782228.1	A	g6481.t1	A
rna-XM_056782202.1	A	g4124.t1	A
rna-XM_056782179.1	A	g6449.t1	A
rna-XM_056782248.1	A	g6450.t1	A
rna-XM_056779996.1	A	g6451.t1	A
rna-XM_056785964.1	A	g6452.t1	A
rna-XM_056785983.1	A	g6453.t3	A
rna-XM_056786017.1	A	g6454.t1	A
rna-XM_056786027.1	A	g6455.t1	A
rna-XM_056786052.1	A	g6458.t1	A
rna-XM_056788311.1	A	g6460.t1	A
rna-XM_056786069.1	A	g6462.t1	A
rna-XM_056786081.1	A	g3159.t1	A
rna-XM_056786119.1	A	g6476.t1	A
rna-XM_056786144.1	A	g11070.t1	A
rna-XM_056786162.1	A	g8045.t1	A
rna-XM_056786174.1	A	g7836.t1	A
rna-XM_056786188.1	A	g8046.t1	A
rna-XM_056786210.1	A	g8047.t1	A
rna-XM_056786223.1	A	g8048.t1	A
rna-XM_056786235.1	A	g8049.t1	A
rna-XM_056786245.1	A	g7412.t2	A
rna-XM_056786351.1	A	g9116.t1	A
rna-XM_056786337.1	A	g2436.t1	A
rna-XM_056786289.1	A	g2352.t1	A
rna-XM_056786277.1	A	g2437.t1	A
rna-XM_056786317.1	A	g3413.t1	A
rna-XM_056786371.1	A	g578.t1	A
rna-XM_056786383.1	A	g3047.t1	A
rna-XM_056786393.1	A	g3046.t1	A
rna-XM_056786423.1	A	g10739.t1	A
rna-XM_056786473.1	A	g665.t1	A
rna-XM_056786405.1	A	g3411.t1	A
rna-XM_056786438.1	A	g14383.t1	A
rna-XM_056786462.1	A	g10630.t1	A
rna-XM_056786450.1	A	g4135.t1	A
rna-XM_056786540.1	A	g12184.t1	A
rna-XM_056786529.1	A	g12185.t1	A
rna-XM_056786585.1	A	g13582.t1	A
rna-XM_056786572.1	A	g11362.t1	A
rna-XM_056786598.1	A	g11361.t1	A
rna-XM_056786626.1	A	g3134.t1	A
rna-XM_056786647.1	A	g11360.t1	A
rna-XM_056786618.1	A	g11990.t1	A
rna-XM_056786635.1	A	g9183.t1	A
rna-XM_056786638.1	A	g4962.t1	A
rna-XM_056786652.1	A	g10833.t1	A
rna-XM_056786666.1	A	g12828.t1	A
rna-XM_056786680.1	A	g4071.t1	A
rna-XM_056786708.1	A	g12649.t1	A
rna-XM_056786721.1	A	g14748.t1	A
rna-XM_056786730.1	A	g10036.t1	A
rna-XM_056786768.1	A	g6858.t1	A
rna-XM_056786742.1	A	g664.t1	A
rna-XM_056774270.1	A	g14125.t1	A
rna-XM_056785931.1	A	g8826.t3	A
rna-XM_056785673.1	A	g9207.t2	A
rna-XM_056785686.1	A	g10095.t1	A
rna-XM_056791494.1	A	g2902.t1	X
rna-XM_056791488.1	A	g9714.t1	A
rna-XM_056791503.1	A	g13904.t1	A
rna-XM_056791512.1	A	g4415.t1	A
rna-XM_056791533.1	A	g8212.t1	A
rna-XM_056791538.1	A	g4408.t1	A
rna-XM_056791540.1	A	g14716.t1	A
rna-XM_056791554.1	A	g14638.t1	A
rna-XM_056791546.1	A	g4963.t1	A
rna-XM_056791550.1	A	g10775.t1	A
rna-XM_056775190.1	A	g4072.t1	A
rna-XM_056775202.1	A	g12194.t1	A
rna-XM_056788790.1	A	g5069.t1	A
rna-XM_056775235.1	A	g14384.t1	A
rna-XM_056781587.1	A	g11229.t1	A
