C_chinensis	chromosome	B_siliquastri	chromosome
anno1.g4946.t1	A	BRAKERILHT00000016902	A
anno1.g4947.t1	A	BRAKERILHT00000015820	A
anno1.g4948.t2	A	BRAKERILHT00000016135	A
anno1.g4949.t1	A	BRAKERILHT00000016532	A
anno1.g4938.t1	A	BRAKERILHT00000005542	A
anno1.g4939.t1	A	BRAKERILHT00000004964	A
anno1.g4941.t1	A	BRAKERILHT00000006461	A
anno1.g4914.t2	A	BRAKERILHT00000005675	A
anno1.g4916.t1	A	BRAKERILHT00000004769	A
anno1.g4915.t1	A	BRAKERILHT00000005219	A
anno1.g4917.t1	A	BRAKERILHT00000004829	A
anno1.g4918.t1	A	BRAKERILHT00000006413	A
anno1.g4919.t1	A	BRAKERILHT00000005031	A
anno1.g4920.t1	A	BRAKERILHT00000005557	A
anno1.g4921.t1	A	BRAKERILHT00000004825	A
anno1.g4922.t1	A	BRAKERILHT00000006196	A
anno1.g4923.t2	A	BRAKERILHT00000005471	A
anno1.g4924.t1	A	BRAKERILHT00000005823	A
anno1.g4925.t1	A	BRAKERILHT00000004614	A
anno1.g4927.t1	A	BRAKERILHT00000017726	X
anno1.g4928.t2	A	BRAKERILHT00000004699	A
anno1.g4929.t1	A	BRAKERILHT00000005852	A
anno1.g4931.t2	A	BRAKERILHT00000005376	A
anno1.g4932.t1	A	BRAKERILHT00000005858	A
anno1.g4933.t1	A	BRAKERILHT00000006302	A
anno1.g4934.t1	A	BRAKERILHT00000004918	A
anno1.g4935.t1	A	BRAKERILHT00000005817	A
anno1.g4936.t2	A	BRAKERILHT00000006164	A
anno1.g4909.t1	A	BRAKERILHT00000016169	A
anno1.g4911.t2	A	BRAKERILHT00000015763	A
anno1.g4893.t1	A	BRAKERILHT00000010595	A
anno1.g4894.t1	A	BRAKERILHT00000010810	A
anno1.g4895.t2	A	BRAKERILHT00000012063	A
anno1.g4896.t1	A	BRAKERILHT00000011380	A
anno1.g4897.t1	A	BRAKERILHT00000011206	A
anno1.g4898.t1	A	BRAKERILHT00000010598	A
anno1.g4899.t1	A	BRAKERILHT00000010528	A
anno1.g4900.t1	A	BRAKERILHT00000011957	A
anno1.g4901.t1	A	BRAKERILHT00000011506	A
anno1.g4902.t1	A	BRAKERILHT00000011093	A
anno1.g4903.t1	A	BRAKERILHT00000012347	A
anno1.g4904.t1	A	BRAKERILHT00000011759	A
anno1.g4905.t1	A	BRAKERILHT00000010446	A
anno1.g4908.t1	A	BRAKERILHT00000007142	A
anno1.g4880.t1	A	BRAKERILHT00000010510	A
anno1.g4881.t2	A	BRAKERILHT00000011939	A
anno1.g4882.t1	A	BRAKERILHT00000016841	A
anno1.g4883.t2	A	BRAKERILHT00000010564	A
anno1.g4884.t1	A	BRAKERILHT00000010966	A
anno1.g4885.t1	A	BRAKERILHT00000011144	A
anno1.g4886.t1	A	BRAKERILHT00000012084	A
anno1.g4887.t1	A	BRAKERILHT00000010544	A
anno1.g4889.t1	A	BRAKERILHT00000011682	A
anno1.g4890.t1	A	BRAKERILHT00000010593	A
anno1.g4877.t1	A	BRAKERILHT00000008019	A
anno1.g4862.t1	A	BRAKERILHT00000013217	A
anno1.g4863.t1	A	BRAKERILHT00000013604	A
anno1.g4864.t1	A	BRAKERILHT00000013069	A
anno1.g4865.t2	A	BRAKERILHT00000013797	A
anno1.g4867.t1	A	BRAKERILHT00000013251	A
anno1.g4868.t1	A	BRAKERILHT00000013719	A
anno1.g4870.t1	A	BRAKERILHT00000012581	A
anno1.g4861.t1	A	BRAKERILHT00000017933	X
anno1.g4839.t1	A	BRAKERILHT00000016466	A
anno1.g4840.t1	A	BRAKERILHT00000015831	A
anno1.g4841.t1	A	BRAKERILHT00000016723	A
anno1.g4842.t1	A	BRAKERILHT00000016580	A
anno1.g4844.t1	A	BRAKERILHT00000016259	A
anno1.g4845.t1	A	BRAKERILHT00000016388	A
anno1.g4846.t2	A	BRAKERILHT00000016685	A
anno1.g4847.t1	A	BRAKERILHT00000016913	A
anno1.g4848.t2	A	BRAKERILHT00000016212	A
anno1.g4849.t1	A	BRAKERILHT00000016739	A
anno1.g4851.t1	A	BRAKERILHT00000016253	A
anno1.g4852.t1	A	BRAKERILHT00000015954	A
anno1.g4854.t1	A	BRAKERILHT00000016856	A
anno1.g4855.t1	A	BRAKERILHT00000016550	A
anno1.g4856.t1	A	BRAKERILHT00000016191	A
anno1.g4857.t1	A	BRAKERILHT00000017435	X
anno1.g4858.t2	A	BRAKERILHT00000015717	A
anno1.g4827.t2	A	BRAKERILHT00000014241	A
anno1.g4830.t1	A	BRAKERILHT00000012005	A
anno1.g4832.t1	A	BRAKERILHT00000014955	A
anno1.g4834.t1	A	BRAKERILHT00000014061	A
anno1.g4825.t1	A	BRAKERILHT00000013368	A
anno1.g4810.t1	A	BRAKERILHT00000010540	A
anno1.g4811.t1	A	BRAKERILHT00000011922	A
anno1.g4812.t1	A	BRAKERILHT00000011514	A
anno1.g4813.t1	A	BRAKERILHT00000011823	A
anno1.g4814.t1	A	BRAKERILHT00000011194	A
anno1.g4815.t1	A	BRAKERILHT00000012049	A
anno1.g4816.t1	A	BRAKERILHT00000010917	A
anno1.g4817.t1	A	BRAKERILHT00000010522	A
anno1.g4818.t3	A	BRAKERILHT00000012253	A
anno1.g4819.t1	A	BRAKERILHT00000011843	A
anno1.g4821.t1	A	BRAKERILHT00000011201	A
anno1.g4823.t2	A	BRAKERILHT00000011003	A
anno1.g4772.t1	A	BRAKERILHT00000002122	A
anno1.g4773.t1	A	BRAKERILHT00000000414	A
anno1.g4774.t1	A	BRAKERILHT00000000069	A
