chr - NC_079460.1 X 0 40517163 acen
chr - NC_079461.1 1 0 37112070 lorange
chr - NC_079462.1 2 0 36256822 lorange
chr - NC_079463.1 3 0 34144059 lorange
chr - NC_079464.1 4 0 31753929 lorange
chr - NC_079465.1 5 0 31748054 lorange
chr - NC_079466.1 6 0 25471556 lorange
chr - NC_079467.1 7 0 24329409 lorange
chr - NC_079468.1 8 0 23998659 lorange
chr - NC_079469.1 9 0 16722489 lorange
chr - NC_079470.1 10 0 14828743 lorange
chr - NC_079471.1 11 0 13651024 lorange
chr - NC_079472.1 12 0 67688434 lorange
chr - NC_079473.1 Y 0 12719532 blue
