2 12760928 12772726 CAVLJG010000377.1 58863 64018 color=lorange
4 835539 844935 CAVLJG010000002.1 8642534 8644613 color=lorange
4 38229328 38230745 CAVLJG010000002.1 11898636 11903693 color=lorange
6 18890064 18905529 CAVLJG010000099.1 82567 114149 color=lorange
6 20889606 20889839 CAVLJG010000488.1 69187 69657 color=lorange
X 138981 150011 CAVLJG010000002.1 35653430 35674474 color=acen
X 158386 163545 CAVLJG010000002.1 35640792 35650674 color=acen
X 168601 171464 CAVLJG010000002.1 35683686 35687843 color=acen
X 193854 195000 CAVLJG010000002.1 36301929 36304032 color=acen
X 233351 233848 CAVLJG010000002.1 36311003 36311500 color=acen
X 241820 255285 CAVLJG010000002.1 36321957 36346380 color=acen
X 257103 258243 CAVLJG010000002.1 35465150 35482351 color=acen
X 263033 263796 CAVLJG010000002.1 35465150 35482351 color=acen
X 417572 422379 CAVLJG010000002.1 9014396 9103701 color=acen
X 424268 431048 CAVLJG010000002.1 9014396 9103701 color=acen
X 464635 474448 CAVLJG010000002.1 8922910 8958168 color=acen
X 513535 516125 CAVLJG010000002.1 8642534 8644613 color=acen
X 513535 516125 CAVLJG010000004.1 72660718 72881288 color=lorange
X 531650 560971 CAVLJG010000002.1 8473169 8589239 color=acen
X 574643 575098 CAVLJG010000002.1 8453262 8453717 color=acen
X 750844 753497 CAVLJG010000002.1 10008804 10037235 color=acen
X 789771 798377 CAVLJG010000002.1 23233692 23354521 color=acen
X 789771 798377 CAVLJG010000002.1 23233692 23354521 color=acen
X 820581 821537 CAVLJG010000002.1 23359307 23359935 color=acen
X 820593 821537 CAVLJG010000002.1 23359307 23359935 color=acen
X 851982 853892 CAVLJG010000002.1 23478662 23483131 color=acen
X 855838 859311 CAVLJG010000002.1 23487746 23492925 color=acen
X 1038237 1062845 CAVLJG010000002.1 30494973 30531383 color=acen
X 1038237 1062845 CAVLJG010000002.1 30494973 30531383 color=acen
X 1066739 1069814 CAVLJG010000002.1 30534940 30554916 color=acen
X 1076227 1078798 CAVLJG010000002.1 26199154 26207477 color=acen
X 1085161 1095219 CAVLJG010000002.1 7129678 7178827 color=acen
X 1096876 1097295 CAVLJG010000002.1 7129678 7178827 color=acen
X 1183355 1184223 CAVLJG010000002.1 6912281 7056770 color=acen
X 1231896 1252475 CAVLJG010000002.1 32139099 32184277 color=acen
X 1231896 1252475 CAVLJG010000002.1 32186499 32276618 color=acen
X 1278178 1288844 CAVLJG010000002.1 33317033 33330067 color=acen
X 1320216 1322170 CAVLJG010000002.1 39146063 39148614 color=acen
X 1364091 1406202 CAVLJG010000002.1 33397014 33508136 color=acen
X 1496903 1497139 CAVLJG010000002.1 26394110 26477281 color=acen
X 1582413 1615577 CAVLJG010000002.1 26034337 26108355 color=acen
X 1582413 1615577 CAVLJG010000002.1 26688751 26730484 color=acen
X 1582413 1615577 CAVLJG010000002.1 26136077 26136496 color=acen
X 1648048 1704120 CAVLJG010001120.1 34328 41937 color=lorange
X 2081907 2089702 CAVLJG010000002.1 28100265 28111735 color=acen
X 2081907 2089702 CAVLJG010000002.1 28097013 28100220 color=acen
X 2081907 2089702 CAVLJG010000002.1 28111759 28113066 color=acen
X 2081907 2089888 CAVLJG010000002.1 28100265 28111735 color=acen
X 2081907 2089888 CAVLJG010000002.1 28111759 28113066 color=acen
X 2081907 2089888 CAVLJG010000002.1 28097013 28100220 color=acen
X 2103247 2103714 CAVLJG010000002.1 17628588 17629055 color=acen
X 2116202 2118791 CAVLJG010000002.1 17639473 17656426 color=acen
X 2128109 2134582 CAVLJG010000002.1 17670546 17835286 color=acen
X 2128109 2146244 CAVLJG010000002.1 17670546 17835286 color=acen
X 2230242 2232775 CAVLJG010000002.1 36572202 36578089 color=acen
X 2234674 2256455 CAVLJG010000002.1 42804862 42824521 color=acen
X 2258747 2268599 CAVLJG010000002.1 42827896 42837281 color=acen
X 2306977 2309983 CAVLJG010000002.1 36425661 36430604 color=acen
X 2315597 2317089 CAVLJG010000002.1 36438311 36439800 color=acen
X 2318539 2327044 CAVLJG010000002.1 36383739 36403748 color=acen
X 2330264 2333723 CAVLJG010000002.1 36355249 36380767 color=acen
X 2346545 2362486 CAVLJG010000002.1 37799360 37828258 color=acen
X 2511096 2516261 CAVLJG010000002.1 32701582 32722367 color=acen
X 2611049 2613299 CAVLJG010000004.1 9674870 9685785 color=lorange
X 2644479 2662213 CAVLJG010000002.1 33645077 33672747 color=acen
X 2664744 2668270 CAVLJG010000002.1 36556442 36570520 color=acen
X 2701059 2708068 CAVLJG010000002.1 36467931 36505103 color=acen
X 2715792 2723800 CAVLJG010000002.1 36467931 36505103 color=acen
X 2745043 2748759 CAVLJG010000002.1 36441939 36447875 color=acen
X 2745043 2751297 CAVLJG010000002.1 36441939 36447875 color=acen
X 2749518 2751297 CAVLJG010000002.1 36441939 36447875 color=acen
X 2752285 2759227 CAVLJG010000002.1 12438621 12449167 color=acen
X 3074691 3084154 CAVLJG010000002.1 11803272 11850879 color=acen
X 3110932 3113274 CAVLJG010000002.1 11898636 11903693 color=acen
X 3110932 3113274 CAVLJG010000004.1 49346349 49353607 color=lorange
X 3129178 3134102 CAVLJG010000002.1 11918180 11967724 color=acen
X 3135613 3140767 CAVLJG010000002.1 11918180 11967724 color=acen
X 3145486 3150180 CAVLJG010000002.1 11918180 11967724 color=acen
X 3762772 3772419 CAVLJG010000002.1 13837847 13917582 color=acen
X 3897857 3919634 CAVLJG010000002.1 14029620 14184233 color=acen
X 3951556 3966202 CAVLJG010000002.1 14029620 14184233 color=acen
X 3971816 3976480 CAVLJG010000002.1 33269531 33276583 color=acen
X 3971816 3976480 CAVLJG010000002.1 33245329 33252365 color=acen
X 4030656 4036393 CAVLJG010000002.1 38997523 39054868 color=acen
X 4137292 4137987 CAVLJG010000002.1 38795332 38909101 color=acen
X 4167639 4172114 CAVLJG010000002.1 38795332 38909101 color=acen
X 4196955 4205739 CAVLJG010000002.1 38795332 38909101 color=acen
X 4324334 4324933 CAVLJG010000002.1 38612145 38616676 color=acen
X 4324334 4331347 CAVLJG010000002.1 38612145 38616676 color=acen
X 4740184 4751336 CAVLJG010000002.1 18962600 18979627 color=acen
X 4765081 4773326 CAVLJG010000002.1 19009680 19036253 color=acen
X 4819247 4821198 CAVLJG010000002.1 19130412 19137116 color=acen
X 4826211 4832353 CAVLJG010000002.1 19151463 19164125 color=acen
X 4845426 4860602 CAVLJG010000002.1 19182719 19210860 color=acen
X 4861734 4868453 CAVLJG010000002.1 20348472 20359802 color=acen
X 4954374 4956541 CAVLJG010000002.1 20130363 20175041 color=acen
X 4984928 4990289 CAVLJG010000002.1 38202388 38267071 color=acen
X 5081484 5091393 CAVLJG010000002.1 28199115 28227986 color=acen
X 5081484 5091393 CAVLJG010000002.1 25652258 25655158 color=acen
X 5081484 5091393 CAVLJG010000002.1 25648863 25652177 color=acen
X 5122839 5134397 CAVLJG010000002.1 42744823 42756326 color=acen
X 5184102 5184567 CAVLJG010000002.1 39123675 39124336 color=acen
X 5206827 5208801 CAVLJG010000002.1 39165511 39278822 color=acen
X 5249493 5259003 CAVLJG010000002.1 39165511 39278822 color=acen
X 5264765 5281656 CAVLJG010000002.1 39165511 39278822 color=acen
X 5390026 5397869 CAVLJG010000002.1 42783578 42790737 color=acen
X 5404747 5408409 CAVLJG010000002.1 41655771 41664372 color=acen
X 5408733 5412023 CAVLJG010000002.1 41651941 41655139 color=acen
X 5556606 5561065 CAVLJG010000002.1 41805532 41809553 color=acen
X 5655408 5666308 CAVLJG010000002.1 41686484 41704323 color=acen
X 5679787 5683904 CAVLJG010000002.1 15488543 15495446 color=acen
X 5679787 5686934 CAVLJG010000002.1 15488543 15495446 color=acen
X 5720738 5724749 CAVLJG010000002.1 15399461 15413411 color=acen
X 5732407 5745092 CAVLJG010000002.1 15429617 15457380 color=acen
X 5753693 5762611 CAVLJG010000002.1 15471608 15481651 color=acen
X 5765947 5775654 CAVLJG010000002.1 15334601 15367541 color=acen
X 5818729 5822839 CAVLJG010000002.1 15247116 15256968 color=acen
X 5822967 5825620 CAVLJG010000002.1 15247116 15256968 color=acen
X 5829988 5840479 CAVLJG010000002.1 15205359 15243037 color=acen
X 5983106 5984118 CAVLJG010000002.1 14803476 14805012 color=acen
X 5983106 5984172 CAVLJG010000002.1 14803476 14805012 color=acen
X 6017781 6022141 CAVLJG010000002.1 14726902 14757234 color=acen
X 6072319 6076577 CAVLJG010000002.1 14569034 14581249 color=acen
X 6123311 6125082 CAVLJG010000002.1 37930740 37982237 color=acen
X 6150763 6158660 CAVLJG010000002.1 37988531 37997910 color=acen
X 6164743 6170163 CAVLJG010000002.1 38002821 38015411 color=acen
X 6176191 6176397 CAVLJG010000002.1 38020585 38070939 color=acen
X 6243883 6246571 CAVLJG010000002.1 38134330 38145001 color=acen
X 6249791 6256003 CAVLJG010000002.1 38147133 38160855 color=acen
X 6291788 6295221 CAVLJG010000002.1 20113028 20121130 color=acen
X 6297612 6304762 CAVLJG010000002.1 40919765 40942038 color=acen
X 6336422 6342165 CAVLJG010000002.1 40947222 40950433 color=acen
X 6347014 6353366 CAVLJG010000002.1 40906169 40917070 color=acen
X 6369080 6374303 CAVLJG010000002.1 7330343 7339445 color=acen
X 6381095 6390214 CAVLJG010000002.1 7280504 7317096 color=acen
X 6423055 6431050 CAVLJG010000002.1 26211066 26225416 color=acen
X 6657094 6658241 CAVLJG010000002.1 40329513 40330489 color=acen
X 6659673 6660659 CAVLJG010000002.1 40336743 40337744 color=acen
X 6662741 6678095 CAVLJG010000002.1 40342695 40361306 color=acen
X 6682277 6690660 CAVLJG010000002.1 40364904 40376928 color=acen
X 6698837 6706017 CAVLJG010000002.1 40382936 40421601 color=acen
X 6915316 6916263 CAVLJG010000002.1 40605077 40616182 color=acen
X 6926014 6927372 CAVLJG010000002.1 40627646 40629004 color=acen
X 6931319 6932002 CAVLJG010000002.1 40634216 40640104 color=acen
X 6943507 6947335 CAVLJG010000002.1 40644991 40648916 color=acen
X 6959818 6979962 CAVLJG010000002.1 40658230 40679649 color=acen
X 6998643 6999194 CAVLJG010000002.1 23509263 23509814 color=acen
X 7003185 7003655 CAVLJG010000002.1 30000395 30072994 color=acen
X 7032551 7038966 CAVLJG010000002.1 30000395 30072994 color=acen
X 7084660 7085517 CAVLJG010000002.1 30994551 30995408 color=acen
X 7092125 7099138 CAVLJG010000002.1 31045751 31078098 color=acen
X 7123412 7129498 CAVLJG010000002.1 31080798 31097529 color=acen
X 7145392 7161876 CAVLJG010000002.1 33621446 33638492 color=acen
X 7145392 7161876 CAVLJG010000002.1 33112824 33113159 color=acen
X 7177116 7186703 CAVLJG010000002.1 31130106 31147650 color=acen
X 12718899 12719594 CAVLJG010000002.1 31153858 31239495 color=acen
X 13787885 13792718 CAVLJG010000002.1 23677949 23685397 color=acen
X 13799895 13812084 CAVLJG010000002.1 23689803 23709788 color=acen
X 13839480 13846698 CAVLJG010000002.1 24125245 24191923 color=acen
X 13917055 13923980 CAVLJG010000002.1 24015921 24059574 color=acen
X 13952774 13988289 CAVLJG010000002.1 29750982 29893326 color=acen
X 13990237 14012579 CAVLJG010000002.1 29750982 29893326 color=acen
X 14021313 14029014 CAVLJG010000002.1 29750982 29893326 color=acen
X 14039656 14068999 CAVLJG010000002.1 29750982 29893326 color=acen
X 14090573 14116985 CAVLJG010000002.1 19225300 19305385 color=acen
X 14117790 14123770 CAVLJG010000002.1 19225300 19305385 color=acen
X 14124031 14130139 CAVLJG010000002.1 19225300 19305385 color=acen
X 14133037 14144538 CAVLJG010000002.1 19310241 19352420 color=acen
X 14183142 14183570 CAVLJG010000002.1 19394319 19462401 color=acen
X 14206843 14224687 CAVLJG010000002.1 19394319 19462401 color=acen
X 14414890 14422333 CAVLJG010000002.1 19898492 19926415 color=acen
X 14437387 14444092 CAVLJG010000002.1 23842765 23853202 color=acen
X 14475255 14480865 CAVLJG010000002.1 23767018 23788059 color=acen
X 14510170 14512071 CAVLJG010000002.1 24318220 24321668 color=acen
X 14512873 14516159 CAVLJG010000002.1 24322290 24329117 color=acen
X 14521800 14528322 CAVLJG010000002.1 24336320 24343874 color=acen
X 14584683 14599363 CAVLJG010000002.1 24378569 24499155 color=acen
X 14603239 14610811 CAVLJG010000002.1 24504677 24512969 color=acen
X 14627412 14631195 CAVLJG010000002.1 24539117 24546048 color=acen
X 14633471 14634682 CAVLJG010000002.1 24552546 24585558 color=acen
X 14641682 14644774 CAVLJG010000002.1 24552546 24585558 color=acen
X 14649053 14653004 CAVLJG010000002.1 24552546 24585558 color=acen
X 14654622 14661799 CAVLJG010000002.1 24590697 24611831 color=acen
X 14698925 14700755 CAVLJG010000002.1 24645458 24691833 color=acen
X 14703620 14708441 CAVLJG010000002.1 24695991 24700137 color=acen
X 14761105 14793550 CAVLJG010000002.1 24762607 24922276 color=acen
X 14809614 14813076 CAVLJG010000002.1 25034327 25037564 color=acen
X 14849413 14869430 CAVLJG010000002.1 25104396 25126808 color=acen
X 14894311 14899657 CAVLJG010000002.1 25155866 25159273 color=acen
X 14941781 14946346 CAVLJG010000002.1 37857670 37879508 color=acen
X 15130183 15134178 CAVLJG010000002.1 40826223 40829129 color=acen
X 15135800 15140635 CAVLJG010000002.1 40832008 40841231 color=acen
X 15152511 15153031 CAVLJG010000002.1 40847763 40848352 color=acen
X 15152511 15153031 CAVLJG010000008.1 81767087 81771562 color=lorange
X 15153972 15160294 CAVLJG010000002.1 41668175 41674491 color=acen
X 15168824 15200095 CAVLJG010000002.1 7539858 7726121 color=acen
X 15235409 15237211 CAVLJG010000002.1 39109270 39112816 color=acen
X 15244622 15247895 CAVLJG010000002.1 39097511 39101570 color=acen
X 15318484 15319543 CAVLJG010000002.1 14531624 14533845 color=acen
X 15320919 15326066 CAVLJG010000002.1 14520029 14523989 color=acen
X 15327107 15344721 CAVLJG010000002.1 14464119 14497387 color=acen
X 15352068 15355713 CAVLJG010000002.1 14438144 14449139 color=acen
X 15360667 15366035 CAVLJG010000002.1 14417029 14432332 color=acen
X 15369649 15381440 CAVLJG010000002.1 14322888 14403870 color=acen
X 15369649 15381443 CAVLJG010000002.1 14322888 14403870 color=acen
X 15460970 15465735 CAVLJG010000002.1 41988612 41994546 color=acen
X 15470170 15480479 CAVLJG010000002.1 42001439 42030076 color=acen
X 15520658 15524853 CAVLJG010000002.1 42160798 42166629 color=acen
X 15531721 15535005 CAVLJG010000002.1 42148892 42152984 color=acen
X 15538871 15544483 CAVLJG010000002.1 42139794 42146191 color=acen
X 15595151 15600148 CAVLJG010000002.1 42067771 42125244 color=acen
X 15675138 15682528 CAVLJG010000002.1 42626266 42662740 color=acen
X 15686714 15690577 CAVLJG010000002.1 42666843 42669532 color=acen
X 15932570 15935998 CAVLJG010000002.1 42886401 43098258 color=acen
X 15998743 16000929 CAVLJG010000002.1 42886401 43098258 color=acen
X 16057956 16062454 CAVLJG010000002.1 15806713 15817551 color=acen
X 16064359 16065024 CAVLJG010000002.1 15802108 15802773 color=acen
X 16147451 16147882 CAVLJG010000002.1 15515311 15574450 color=acen
X 16190532 16193253 CAVLJG010000002.1 41952015 41953789 color=acen
X 16218415 16230487 CAVLJG010000002.1 17451272 17543126 color=acen
X 16237318 16240204 CAVLJG010000002.1 17451272 17543126 color=acen
X 16237318 16258880 CAVLJG010000002.1 17451272 17543126 color=acen
X 16237318 16258880 CAVLJG010000002.1 17451272 17543126 color=acen
X 16270841 16271386 CAVLJG010000002.1 17429316 17429861 color=acen
X 16349098 16363130 CAVLJG010000002.1 17156842 17240087 color=acen
X 16378272 16380151 CAVLJG010000002.1 17025977 17132670 color=acen
X 16412070 16413996 CAVLJG010000002.1 17025977 17132670 color=acen
X 16424408 16426801 CAVLJG010000002.1 17025977 17132670 color=acen
X 16533536 16536140 CAVLJG010000002.1 16630911 16766767 color=acen
X 16556516 16567072 CAVLJG010000002.1 16630911 16766767 color=acen
X 16721602 16723644 CAVLJG010000002.1 16257477 16259513 color=acen
X 16730633 16737429 CAVLJG010000002.1 16239931 16249988 color=acen
X 16746379 16749572 CAVLJG010000002.1 16214700 16220034 color=acen
X 16751093 16755963 CAVLJG010000002.1 16199337 16209757 color=acen
X 16762795 16768656 CAVLJG010000002.1 16181588 16189155 color=acen
X 16769842 16772494 CAVLJG010000002.1 16177612 16179758 color=acen
X 16776840 16779692 CAVLJG010000002.1 16118854 16168659 color=acen
X 16808299 16809641 CAVLJG010000002.1 42704274 42713830 color=acen
X 16833344 16849598 CAVLJG010000002.1 42704274 42713830 color=acen
X 16862944 16867966 CAVLJG010000002.1 20368420 20376181 color=acen
X 16872206 16884675 CAVLJG010000002.1 20383915 20547572 color=acen
X 16918997 16934444 CAVLJG010000002.1 20383915 20547572 color=acen
X 16918997 16934444 CAVLJG010000002.1 20383915 20547572 color=acen
X 16936214 16945518 CAVLJG010000002.1 20383915 20547572 color=acen
X 17149963 17150208 CAVLJG010000002.1 21203059 21227353 color=acen
X 17188129 17191194 CAVLJG010000002.1 21264481 21304094 color=acen
X 17822614 17833819 CAVLJG010000002.1 23101491 23133111 color=acen
X 17840204 17846683 CAVLJG010000002.1 23140880 23162034 color=acen
X 17996669 18015043 CAVLJG010000002.1 25934013 25990398 color=acen
X 18028767 18040396 CAVLJG010000002.1 35434790 35462331 color=acen
X 18217570 18222185 CAVLJG010000002.1 34733259 34775032 color=acen
X 18278374 18288985 CAVLJG010000002.1 34560267 34587803 color=acen
X 18292796 18301742 CAVLJG010000002.1 34521790 34554495 color=acen
X 18350084 18352370 CAVLJG010003236.1 8752 83171 color=acen
X 18350084 18352370 CAVLJG010000002.1 34210422 34510069 color=acen
X 18373433 18377050 CAVLJG010000002.1 34210422 34510069 color=acen
X 18380162 18394406 CAVLJG010000002.1 34210422 34510069 color=acen
X 18380180 18394406 CAVLJG010000002.1 34210422 34510069 color=acen
X 18618210 18628413 CAVLJG010000002.1 33685395 33700110 color=acen
X 18628835 18633358 CAVLJG010000002.1 33673699 33685216 color=acen
X 18770130 18774914 CAVLJG010000002.1 38319327 38361877 color=acen
X 18778271 18782789 CAVLJG010000002.1 38319327 38361877 color=acen
X 18792329 18796291 CAVLJG010000002.1 39310978 39314524 color=acen
X 18805357 18809129 CAVLJG010000002.1 39333555 39339201 color=acen
X 18834602 18855917 CAVLJG010000002.1 39378536 39427782 color=acen
X 18924781 18926623 CAVLJG010000002.1 39515932 39518075 color=acen
X 18945459 18957458 CAVLJG010000002.1 39545299 39554731 color=acen
X 19495654 19501059 CAVLJG010000002.1 40198295 40202982 color=acen
X 19505454 19514798 CAVLJG010000002.1 40206793 40220283 color=acen
X 19519041 19524518 CAVLJG010000002.1 40228195 40239836 color=acen
X 19558039 19560017 CAVLJG010000002.1 41954604 41956580 color=acen
X 19770839 19788060 CAVLJG010000002.1 29640851 29692447 color=acen
X 19816844 19818908 CAVLJG010000002.1 29616234 29620522 color=acen
X 19825112 19831211 CAVLJG010000002.1 29543566 29605741 color=acen
X 20116811 20121722 CAVLJG010000002.1 28997679 29271753 color=acen
X 20142660 20147581 CAVLJG010000002.1 28972793 28979681 color=acen
X 20150398 20157279 CAVLJG010000002.1 28940838 28967805 color=acen
X 20160222 20174502 CAVLJG010000002.1 40851853 40867844 color=acen
X 20186805 20188971 CAVLJG010000002.1 40880205 40883072 color=acen
X 20208561 20212151 CAVLJG010000002.1 41027749 41038804 color=acen
X 20269688 20275619 CAVLJG010000002.1 41105318 41117541 color=acen
X 20294306 20299654 CAVLJG010000002.1 41145882 41152587 color=acen
X 20737436 20745078 CAVLJG010000002.1 41581831 41599538 color=acen
X 20767475 20772137 CAVLJG010000002.1 41612683 41629258 color=acen
X 20772590 20776651 CAVLJG010000002.1 41612683 41629258 color=acen
X 20797152 20816572 CAVLJG010000002.1 17930444 17995775 color=acen
X 20833944 20844667 CAVLJG010000002.1 33160610 33201455 color=acen
X 20851363 20851890 CAVLJG010000002.1 23526249 23526776 color=acen
X 20855578 20858823 CAVLJG010000002.1 23535861 23541036 color=acen
X 20860518 20878121 CAVLJG010000002.1 23543903 23601487 color=acen
X 20885360 20890524 CAVLJG010000002.1 23616005 23631209 color=acen
X 20885360 20890557 CAVLJG010000002.1 23616005 23631209 color=acen
X 20904013 20909893 CAVLJG010000002.1 23645982 23661494 color=acen
X 20915375 20918018 CAVLJG010000002.1 23921400 23936871 color=acen
X 20928157 20935847 CAVLJG010000002.1 19806749 19838331 color=acen
X 21021658 21025100 CAVLJG010000002.1 37741968 37749542 color=acen
X 21055325 21061332 CAVLJG010000002.1 7800221 7833342 color=acen
X 21072432 21078947 CAVLJG010000002.1 7742165 7749639 color=acen
X 21130709 21135509 CAVLJG010000002.1 37613284 37619586 color=acen
X 21164620 21175142 CAVLJG010000002.1 37252465 37572521 color=acen
X 21181103 21187246 CAVLJG010000002.1 37252465 37572521 color=acen
X 21382083 21391782 CAVLJG010000002.1 36999551 37017563 color=acen
X 21392430 21397003 CAVLJG010000002.1 36994087 36998931 color=acen
X 21411817 21417830 CAVLJG010000002.1 36943051 36957098 color=acen
X 21558175 21559751 CAVLJG010000002.1 36658032 36660160 color=acen
X 21561438 21568615 CAVLJG010000002.1 36646072 36655894 color=acen
X 21621492 21623498 CAVLJG010000002.1 42742402 42744064 color=acen
X 21624143 21635559 CAVLJG010000002.1 42793434 42803602 color=acen
X 21639061 21647089 CAVLJG010000007.1 4970773 5173233 color=lorange
X 21662756 21670571 CAVLJG010000002.1 42181460 42192056 color=acen
X 21690007 21691137 CAVLJG010000002.1 42207982 42209112 color=acen
X 21739285 21744957 CAVLJG010000002.1 42262401 42270346 color=acen
X 21758452 21769019 CAVLJG010000002.1 42277217 42286144 color=acen
X 21773606 21797812 CAVLJG010000002.1 42294405 42316320 color=acen
X 21876819 21878601 CAVLJG010000002.1 42316359 42436485 color=acen
X 21933988 21936564 CAVLJG010000002.1 42491489 42504141 color=acen
X 21939332 21957461 CAVLJG010000002.1 42581012 42597317 color=acen
X 21980574 22001363 CAVLJG010000002.1 42514134 42543664 color=acen
X 22007891 22016661 CAVLJG010000002.1 42514134 42543664 color=acen
X 22033919 22034191 CAVLJG010000002.1 42552196 42554531 color=acen
