D_sublineata	chromosome	B_siliquastri	chromosome
rna-XM_056785268.1	A	BRAKERILHT00000007531	A
rna-XM_056788293.1	A	BRAKERILHT00000014456	A
rna-XM_056785296.1	A	BRAKERILHT00000015037	A
rna-XM_056785225.1	A	BRAKERILHT00000014917	A
rna-XM_056785239.1	A	BRAKERILHT00000015502	A
rna-XM_056785203.1	A	BRAKERILHT00000016744	A
rna-XM_056785540.1	A	BRAKERILHT00000000679	A
rna-XM_056785728.1	A	BRAKERILHT00000001449	A
rna-XM_056792928.1	A	BRAKERILHT00000002063	A
rna-XM_056791897.1	A	BRAKERILHT00000000234	A
rna-XM_056791900.1	A	BRAKERILHT00000004635	A
rna-XM_056784138.1	A	BRAKERILHT00000006354	A
rna-XM_056784114.1	A	BRAKERILHT00000014867	A
rna-XM_056788300.1	A	BRAKERILHT00000014193	A
rna-XM_056776645.1	A	BRAKERILHT00000015071	A
rna-XM_056776666.1	A	BRAKERILHT00000004126	A
rna-XM_056781619.1	A	BRAKERILHT00000015644	A
rna-XM_056775509.1	A	BRAKERILHT00000004844	A
rna-XM_056775549.1	A	BRAKERILHT00000004695	A
rna-XM_056782134.1	A	BRAKERILHT00000005874	A
rna-XM_056782145.1	A	BRAKERILHT00000005844	A
rna-XM_056782158.1	A	BRAKERILHT00000013733	A
rna-XM_056782215.1	A	BRAKERILHT00000009546	A
rna-XM_056782228.1	A	BRAKERILHT00000009944	A
rna-XM_056782202.1	A	BRAKERILHT00000013331	A
rna-XM_056782179.1	A	BRAKERILHT00000010332	A
rna-XM_056782248.1	A	BRAKERILHT00000008835	A
rna-XM_056779996.1	A	BRAKERILHT00000008510	A
rna-XM_056785964.1	A	BRAKERILHT00000009918	A
rna-XM_056785983.1	A	BRAKERILHT00000010084	A
rna-XM_056786017.1	A	BRAKERILHT00000008795	A
rna-XM_056786027.1	A	BRAKERILHT00000009726	A
rna-XM_056786040.1	A	BRAKERILHT00000009150	A
rna-XM_056786052.1	A	BRAKERILHT00000009504	A
rna-XM_056788311.1	A	BRAKERILHT00000010272	A
rna-XM_056786069.1	A	BRAKERILHT00000009680	A
rna-XM_056786081.1	A	BRAKERILHT00000000719	A
rna-XM_056786106.1	A	BRAKERILHT00000015831	A
rna-XM_056786119.1	A	BRAKERILHT00000009014	A
rna-XM_056786144.1	A	BRAKERILHT00000003997	A
rna-XM_056786162.1	A	BRAKERILHT00000004620	A
rna-XM_056786174.1	A	BRAKERILHT00000004906	A
rna-XM_056786188.1	A	BRAKERILHT00000005795	A
rna-XM_056786210.1	A	BRAKERILHT00000006321	A
rna-XM_056786223.1	A	BRAKERILHT00000005720	A
rna-XM_056786235.1	A	BRAKERILHT00000005368	A
rna-XM_056786245.1	A	BRAKERILHT00000016188	A
rna-XM_056786351.1	A	BRAKERILHT00000005046	A
rna-XM_056786337.1	A	BRAKERILHT00000014311	A
rna-XM_056786289.1	A	BRAKERILHT00000014569	A
rna-XM_056786277.1	A	BRAKERILHT00000014103	A
rna-XM_056786317.1	A	BRAKERILHT00000015792	A
rna-XM_056786371.1	A	BRAKERILHT00000000538	A
rna-XM_056786383.1	A	BRAKERILHT00000007727	A
rna-XM_056786393.1	A	BRAKERILHT00000007936	A
rna-XM_056786423.1	A	BRAKERILHT00000011790	A
rna-XM_056786473.1	A	BRAKERILHT00000002050	A
rna-XM_056786405.1	A	BRAKERILHT00000016575	A
rna-XM_056786438.1	A	BRAKERILHT00000001601	A
rna-XM_056786462.1	A	BRAKERILHT00000011923	A
rna-XM_056786450.1	A	BRAKERILHT00000012669	A
rna-XM_056788412.1	A	BRAKERILHT00000015804	A
rna-XM_056786540.1	A	BRAKERILHT00000002350	A
rna-XM_056786529.1	A	BRAKERILHT00000002774	A
rna-XM_056786585.1	A	BRAKERILHT00000008229	A
rna-XM_056786572.1	A	BRAKERILHT00000004321	A
rna-XM_056786598.1	A	BRAKERILHT00000003143	A
rna-XM_056786626.1	A	BRAKERILHT00000001198	A
rna-XM_056786647.1	A	BRAKERILHT00000003639	A
rna-XM_056786618.1	A	BRAKERILHT00000004083	A
rna-XM_056786635.1	A	BRAKERILHT00000005259	A
rna-XM_056788549.1	A	BRAKERILHT00000002959	A
rna-XM_056786638.1	A	BRAKERILHT00000006895	A
rna-XM_056786652.1	A	BRAKERILHT00000011265	A
rna-XM_056786666.1	A	BRAKERILHT00000007395	A
rna-XM_056786680.1	A	BRAKERILHT00000013748	A
rna-XM_056786721.1	A	BRAKERILHT00000016263	A
rna-XM_056786730.1	A	BRAKERILHT00000011120	A
rna-XM_056786755.1	A	BRAKERILHT00000011423	A
rna-XM_056786768.1	A	BRAKERILHT00000008518	A
rna-XM_056786742.1	A	BRAKERILHT00000000875	A
rna-XM_056786781.1	A	BRAKERILHT00000005805	A
rna-XM_056779247.1	A	BRAKERILHT00000005695	A
rna-XM_056788779.1	A	BRAKERILHT00000005109	A
rna-XM_056774270.1	A	BRAKERILHT00000014332	A
rna-XM_056785931.1	A	BRAKERILHT00000005783	A
rna-XM_056785673.1	A	BRAKERILHT00000005181	A
rna-XM_056785686.1	A	BRAKERILHT00000011922	A
rna-XM_056791494.1	A	BRAKERILHT00000017502	X
rna-XM_056791488.1	A	BRAKERILHT00000011377	A
rna-XM_056791503.1	A	BRAKERILHT00000014892	A
rna-XM_056791498.1	A	BRAKERILHT00000012177	A
rna-XM_056791512.1	A	BRAKERILHT00000013914	A
rna-XM_056791533.1	A	BRAKERILHT00000006259	A
rna-XM_056791538.1	A	BRAKERILHT00000012368	A
rna-XM_056791540.1	A	BRAKERILHT00000016588	A
rna-XM_056791554.1	A	BRAKERILHT00000016685	A
rna-XM_056791546.1	A	BRAKERILHT00000007576	A
rna-XM_056791550.1	A	BRAKERILHT00000016841	A
rna-XM_056775190.1	A	BRAKERILHT00000012359	A
rna-XM_056775235.1	A	BRAKERILHT00000010163	A
rna-XM_056775214.1	A	BRAKERILHT00000004250	A
rna-XM_056781587.1	A	BRAKERILHT00000003396	A
rna-XM_056784741.1	A	BRAKERILHT00000003636	A
rna-XM_056785645.1	A	BRAKERILHT00000014644	A
rna-XM_056791937.1	A	BRAKERILHT00000015386	A
rna-XM_056791951.1	A	BRAKERILHT00000002633	A
rna-XM_056779975.1	A	BRAKERILHT00000003305	A
rna-XM_056789057.1	A	BRAKERILHT00000004080	A
rna-XM_056777002.1	A	BRAKERILHT00000003424	A
rna-XM_056788462.1	A	BRAKERILHT00000003298	A
rna-XM_056788747.1	A	BRAKERILHT00000004271	A
rna-XM_056788976.1	A	BRAKERILHT00000004438	A
rna-XM_056789743.1	A	BRAKERILHT00000004392	A
rna-XM_056789846.1	A	BRAKERILHT00000011989	A
rna-XM_056790021.1	A	BRAKERILHT00000010716	A
rna-XM_056790387.1	A	BRAKERILHT00000005822	A
rna-XM_056790148.1	A	BRAKERILHT00000004621	A
rna-XM_056790274.1	A	BRAKERILHT00000006267	A
rna-XM_056790629.1	A	BRAKERILHT00000011546	A
rna-XM_056791072.1	A	BRAKERILHT00000010513	A
rna-XM_056791391.1	A	BRAKERILHT00000012267	A
rna-XM_056791276.1	A	BRAKERILHT00000011723	A
rna-XM_056791207.1	A	BRAKERILHT00000010029	A
rna-XM_056790951.1	A	BRAKERILHT00000010921	A
rna-XM_056785330.1	A	BRAKERILHT00000011166	A
rna-XM_056785350.1	A	BRAKERILHT00000006310	A
rna-XM_056779406.1	A	BRAKERILHT00000010238	A
rna-XM_056776346.1	A	BRAKERILHT00000006520	A
rna-XM_056774666.1	A	BRAKERILHT00000012076	A
rna-XM_056774679.1	A	BRAKERILHT00000006365	A
rna-XM_056774690.1	A	BRAKERILHT00000001954	A
rna-XM_056774710.1	A	BRAKERILHT00000010568	A
rna-XM_056784710.1	A	BRAKERILHT00000001706	A
rna-XM_056779312.1	A	BRAKERILHT00000001640	A
rna-XM_056776045.1	A	BRAKERILHT00000000004	A
rna-XM_056792863.1	A	BRAKERILHT00000009646	A
rna-XM_056779823.1	A	BRAKERILHT00000010039	A
rna-XM_056779834.1	A	BRAKERILHT00000009902	A
rna-XM_056789251.1	A	BRAKERILHT00000009743	A
rna-XM_056776583.1	A	BRAKERILHT00000008917	A
rna-XM_056779419.1	A	BRAKERILHT00000007518	A
rna-XM_056779437.1	A	BRAKERILHT00000006927	A
rna-XM_056791564.1	A	BRAKERILHT00000001466	A
rna-XM_056791567.1	A	BRAKERILHT00000014776	A
rna-XM_056787238.1	A	BRAKERILHT00000001777	A
rna-XM_056790290.1	A	BRAKERILHT00000011396	A
rna-XM_056790303.1	A	BRAKERILHT00000011973	A
rna-XM_056790246.1	A	BRAKERILHT00000010471	A
rna-XM_056790234.1	A	BRAKERILHT00000015436	A
rna-XM_056790199.1	A	BRAKERILHT00000014529	A
rna-XM_056790221.1	A	BRAKERILHT00000015598	A
rna-XM_056780388.1	A	BRAKERILHT00000005990	A
rna-XM_056784180.1	A	BRAKERILHT00000000557	A
rna-XM_056784151.1	A	BRAKERILHT00000014582	A
rna-XM_056778539.1	A	BRAKERILHT00000004784	A
rna-XM_056778554.1	A	BRAKERILHT00000004941	A
rna-XM_056787130.1	A	BRAKERILHT00000001931	A
rna-XM_056787452.1	A	BRAKERILHT00000005921	A
rna-XM_056787252.1	A	BRAKERILHT00000002663	A
rna-XM_056791389.1	A	BRAKERILHT00000009999	A
rna-XM_056789293.1	A	BRAKERILHT00000008615	A
rna-XM_056784244.1	A	BRAKERILHT00000002995	A
rna-XM_056776949.1	A	BRAKERILHT00000004253	A
rna-XM_056789304.1	A	BRAKERILHT00000005536	A
rna-XM_056789325.1	A	BRAKERILHT00000006872	A
rna-XM_056776329.1	A	BRAKERILHT00000008831	A
rna-XM_056793039.1	A	BRAKERILHT00000012519	A
rna-XM_056793173.1	A	BRAKERILHT00000007702	A
rna-XM_056773552.1	A	BRAKERILHT00000006689	A
rna-XM_056793065.1	A	BRAKERILHT00000002770	A
rna-XM_056773567.1	A	BRAKERILHT00000004397	A
rna-XM_056773597.1	A	BRAKERILHT00000002860	A
rna-XM_056777237.1	A	BRAKERILHT00000002714	A
rna-XM_056789496.1	A	BRAKERILHT00000003091	A
rna-XM_056789509.1	A	BRAKERILHT00000011760	A
rna-XM_056784261.1	A	BRAKERILHT00000002734	A
rna-XM_056780981.1	A	BRAKERILHT00000008068	A
rna-XM_056781008.1	A	BRAKERILHT00000006604	A
rna-XM_056785549.1	A	BRAKERILHT00000007276	A
rna-XM_056785541.1	A	BRAKERILHT00000000444	A
rna-XM_056784346.1	A	BRAKERILHT00000008216	A
rna-XM_056784224.1	A	BRAKERILHT00000007654	A
rna-XM_056779355.1	A	BRAKERILHT00000007004	A
rna-XM_056779345.1	A	BRAKERILHT00000004110	A
rna-XM_056791846.1	A	BRAKERILHT00000003922	A
rna-XM_056780343.1	A	BRAKERILHT00000003363	A
rna-XM_056791559.1	A	BRAKERILHT00000012990	A
rna-XM_056778947.1	A	BRAKERILHT00000003608	A
rna-XM_056788269.1	A	BRAKERILHT00000003343	A
rna-XM_056774553.1	A	BRAKERILHT00000003299	A
rna-XM_056774528.1	A	BRAKERILHT00000003626	A
rna-XM_056774540.1	A	BRAKERILHT00000013337	A
rna-XM_056774565.1	A	BRAKERILHT00000007681	A
rna-XM_056774580.1	A	BRAKERILHT00000007592	A
rna-XM_056782276.1	A	BRAKERILHT00000008164	A
rna-XM_056781728.1	A	BRAKERILHT00000007767	A
rna-XM_056777308.1	A	BRAKERILHT00000016143	A
rna-XM_056777294.1	A	BRAKERILHT00000015932	A
rna-XM_056777205.1	A	BRAKERILHT00000015795	A
rna-XM_056778260.1	A	BRAKERILHT00000016398	A
rna-XM_056780139.1	A	BRAKERILHT00000016236	A
rna-XM_056782991.1	A	BRAKERILHT00000009126	A
rna-XM_056782980.1	A	BRAKERILHT00000003561	A
rna-XM_056784790.1	A	BRAKERILHT00000004318	A
rna-XM_056787518.1	A	BRAKERILHT00000003535	A
rna-XM_056787531.1	A	BRAKERILHT00000004111	A
rna-XM_056787543.1	A	BRAKERILHT00000003698	A
rna-XM_056787510.1	A	BRAKERILHT00000003489	A
rna-XM_056787498.1	A	BRAKERILHT00000003098	A
rna-XM_056787476.1	A	BRAKERILHT00000013158	A
rna-XM_056790126.1	A	BRAKERILHT00000014050	A
rna-XM_056790869.1	A	BRAKERILHT00000003592	A
rna-XM_056790810.1	A	BRAKERILHT00000004199	A
rna-XM_056774250.1	A	BRAKERILHT00000002207	A
rna-XM_056780416.1	A	BRAKERILHT00000002385	A
rna-XM_056780403.1	A	BRAKERILHT00000002488	A
rna-XM_056779395.1	A	BRAKERILHT00000014934	A
rna-XM_056792618.1	A	BRAKERILHT00000006797	A
rna-XM_056781292.1	A	BRAKERILHT00000007257	A
rna-XM_056781212.1	A	BRAKERILHT00000002685	A
rna-XM_056780579.1	A	BRAKERILHT00000003675	A
rna-XM_056780693.1	A	BRAKERILHT00000002380	A
rna-XM_056790355.1	A	BRAKERILHT00000007392	A
rna-XM_056790377.1	A	BRAKERILHT00000009747	A
rna-XM_056790388.1	A	BRAKERILHT00000012910	A
rna-XM_056782299.1	A	BRAKERILHT00000012784	A
rna-XM_056782363.1	A	BRAKERILHT00000012518	A
rna-XM_056791743.1	A	BRAKERILHT00000013286	A
rna-XM_056791747.1	A	BRAKERILHT00000009277	A
rna-XM_056791877.1	A	BRAKERILHT00000015298	A
rna-XM_056791880.1	A	BRAKERILHT00000005087	A
rna-XM_056791879.1	A	BRAKERILHT00000003658	A
rna-XM_056782610.1	A	BRAKERILHT00000004863	A
rna-XM_056782623.1	A	BRAKERILHT00000005738	A
rna-XM_056774390.1	A	BRAKERILHT00000004590	A
rna-XM_056776712.1	A	BRAKERILHT00000003071	A
rna-XM_056776882.1	A	BRAKERILHT00000003654	A
rna-XM_056776893.1	A	BRAKERILHT00000018040	X
rna-XM_056776768.1	A	BRAKERILHT00000002443	A
rna-XM_056776841.1	A	BRAKERILHT00000008587	A
rna-XM_056776735.1	A	BRAKERILHT00000009146	A
rna-XM_056778028.1	A	BRAKERILHT00000002231	A
rna-XM_056791722.1	A	BRAKERILHT00000002741	A
rna-XM_056791724.1	A	BRAKERILHT00000006657	A
rna-XM_056791732.1	A	BRAKERILHT00000003665	A
rna-XM_056791737.1	A	BRAKERILHT00000004109	A
rna-XM_056791739.1	A	BRAKERILHT00000014623	A
rna-XM_056791742.1	A	BRAKERILHT00000014904	A
rna-XM_056777550.1	A	BRAKERILHT00000014716	A
rna-XM_056790615.1	A	BRAKERILHT00000010609	A
rna-XM_056780631.1	A	BRAKERILHT00000015008	A
rna-XM_056787383.1	A	BRAKERILHT00000009841	A
rna-XM_056777465.1	A	BRAKERILHT00000017439	X
rna-XM_056773760.1	A	BRAKERILHT00000000933	A
rna-XM_056773773.1	A	BRAKERILHT00000002259	A
rna-XM_056793005.1	A	BRAKERILHT00000003232	A
rna-XM_056793017.1	A	BRAKERILHT00000003025	A
rna-XM_056792992.1	A	BRAKERILHT00000004222	A
rna-XM_056779280.1	A	BRAKERILHT00000013522	A
rna-XM_056780784.1	A	BRAKERILHT00000003135	A
rna-XM_056780827.1	A	BRAKERILHT00000011115	A
rna-XM_056780775.1	A	BRAKERILHT00000016754	A
rna-XM_056784617.1	A	BRAKERILHT00000005422	A
rna-XM_056783721.1	A	BRAKERILHT00000014410	A
rna-XM_056783705.1	A	BRAKERILHT00000007376	A
rna-XM_056780717.1	A	BRAKERILHT00000012012	A
rna-XM_056780703.1	A	BRAKERILHT00000015372	A
rna-XM_056782614.1	A	BRAKERILHT00000014213	A
