B_siliquastri	chromosome	D_carinulata	chromosome
BRAKERILHT00000000982	A	rna-XM_057805996.1	A
BRAKERILHT00000001176	A	rna-XM_057806013.1	A
BRAKERILHT00000000383	A	rna-XM_057794860.1	A
BRAKERILHT00000000700	A	rna-XM_057794900.1	A
BRAKERILHT00000001687	A	rna-XM_057811368.1	A
BRAKERILHT00000000962	A	rna-XM_057816099.1	A
BRAKERILHT00000001532	A	rna-XM_057796152.1	A
BRAKERILHT00000001909	A	rna-XM_057799361.1	A
BRAKERILHT00000000202	A	rna-XM_057801633.1	A
BRAKERILHT00000001999	A	rna-XM_057800217.1	A
BRAKERILHT00000001498	A	rna-XM_057808357.1	A
BRAKERILHT00000001266	A	rna-XM_057808358.1	A
BRAKERILHT00000001663	A	rna-XM_057801913.1	A
BRAKERILHT00000001814	A	rna-XM_057801915.1	A
BRAKERILHT00000000259	A	rna-XM_057801911.1	A
BRAKERILHT00000001246	A	rna-XM_057808378.1	A
BRAKERILHT00000002075	A	rna-XM_057809541.1	X
BRAKERILHT00000000534	A	rna-XM_057809495.1	X
BRAKERILHT00000000850	A	rna-XM_057811221.1	A
BRAKERILHT00000001426	A	rna-XM_057811710.1	A
BRAKERILHT00000000008	A	rna-XM_057810461.1	A
BRAKERILHT00000000748	A	rna-XM_057810459.1	A
BRAKERILHT00000000977	A	rna-XM_057811740.1	A
BRAKERILHT00000001398	A	rna-XM_057800044.1	A
BRAKERILHT00000002168	A	rna-XM_057814604.1	A
BRAKERILHT00000000212	A	rna-XM_057800036.1	A
BRAKERILHT00000001715	A	rna-XM_057800049.1	A
BRAKERILHT00000000018	A	rna-XM_057800031.1	A
BRAKERILHT00000000237	A	rna-XM_057812879.1	A
BRAKERILHT00000001429	A	rna-XM_057804632.1	A
BRAKERILHT00000000807	A	rna-XM_057812136.1	A
BRAKERILHT00000000805	A	rna-XM_057813885.1	A
BRAKERILHT00000001478	A	rna-XM_057813891.1	A
BRAKERILHT00000001932	A	rna-XM_057816528.1	A
BRAKERILHT00000000493	A	rna-XM_057804319.1	A
BRAKERILHT00000000093	A	rna-XM_057804765.1	A
BRAKERILHT00000001093	A	rna-XM_057794904.1	A
BRAKERILHT00000001716	A	rna-XM_057804762.1	A
BRAKERILHT00000000943	A	rna-XM_057804770.1	A
BRAKERILHT00000000115	A	rna-XM_057797099.1	A
BRAKERILHT00000000718	A	rna-XM_057806281.1	A
BRAKERILHT00000001975	A	rna-XM_057800376.1	A
BRAKERILHT00000001718	A	rna-XM_057798512.1	A
BRAKERILHT00000001270	A	rna-XM_057806761.1	A
BRAKERILHT00000000893	A	rna-XM_057800382.1	A
BRAKERILHT00000001105	A	rna-XM_057802705.1	A
BRAKERILHT00000001881	A	rna-XM_057797709.1	A
BRAKERILHT00000001358	A	rna-XM_057815021.1	A
BRAKERILHT00000000265	A	rna-XM_057814418.1	A
BRAKERILHT00000001974	A	rna-XM_057798685.1	A
BRAKERILHT00000001508	A	rna-XM_057801487.1	A
BRAKERILHT00000002066	A	rna-XM_057801500.1	A
BRAKERILHT00000000517	A	rna-XM_057808404.1	A
BRAKERILHT00000001117	A	rna-XM_057808411.1	A
BRAKERILHT00000000297	A	rna-XM_057800457.1	A
BRAKERILHT00000000890	A	rna-XM_057800456.1	A
BRAKERILHT00000002041	A	rna-XM_057815510.1	A
BRAKERILHT00000000474	A	rna-XM_057805276.1	A
BRAKERILHT00000001330	A	rna-XM_057800565.1	A
BRAKERILHT00000002020	A	rna-XM_057795668.1	A
