949_quiver 40761 44179 CAVLJG010000005.1 88453089 88459360 color=lorange
1090_quiver 32064 40490 CAVLJG010000566.1 17870 57458 color=lorange
1090_quiver 32064 40490 CAVLJG010000566.1 17870 57458 color=lorange
1090_quiver 32064 40490 CAVLJG010000233.1 44594 58380 color=lorange
1090_quiver 32064 40490 CAVLJG010000233.1 44594 58380 color=lorange
1090_quiver 32064 40490 CAVLJG010000233.1 44594 58380 color=lorange
1090_quiver 32064 40490 CAVLJG010002896.1 190280 256300 color=lorange
1090_quiver 32064 40490 CAVLJG010002896.1 190280 256300 color=lorange
1090_quiver 32064 40490 CAVLJG010002896.1 190280 256300 color=lorange
1090_quiver 32064 40490 CAVLJG010002896.1 190280 256300 color=lorange
1090_quiver 32064 40490 CAVLJG010002896.1 190280 256300 color=lorange
