C_chinensis	chromosome	A_obtectus	chromosome
anno1.g4946.t1	A	anno1.g13147.t1	A
anno1.g4947.t1	A	anno1.g14548.t1	A
anno1.g4948.t2	A	anno1.g13148.t1	A
anno1.g4949.t1	A	anno1.g13149.t1	A
anno1.g4938.t1	A	anno1.g14531.t2	A
anno1.g4940.t1	A	anno1.g14533.t1	A
anno1.g4941.t1	A	anno1.g14534.t1	A
anno1.g4914.t2	A	anno1.g11320.t2	A
anno1.g4916.t1	A	anno1.g11319.t2	A
anno1.g4915.t1	A	anno1.g11318.t1	A
anno1.g4917.t1	A	anno1.g11317.t1	A
anno1.g4918.t1	A	anno1.g11316.t1	A
anno1.g4919.t1	A	anno1.g11314.t2	A
anno1.g4920.t1	A	anno1.g11315.t1	A
anno1.g4921.t1	A	anno1.g11313.t2	A
anno1.g4922.t1	A	anno1.g11312.t1	A
anno1.g4923.t2	A	anno1.g11311.t1	A
anno1.g4924.t1	A	anno1.g11310.t1	A
anno1.g4925.t1	A	anno1.g11309.t2	A
anno1.g4928.t2	A	anno1.g11308.t1	A
anno1.g4929.t1	A	anno1.g11307.t1	A
anno1.g4931.t2	A	anno1.g11294.t2	A
anno1.g4932.t1	A	anno1.g11296.t1	A
anno1.g4933.t1	A	anno1.g11297.t1	A
anno1.g4935.t1	A	anno1.g11298.t1	A
anno1.g4936.t2	A	anno1.g11287.t1	A
anno1.g4909.t1	A	anno1.g13131.t1	A
anno1.g4910.t1	A	anno1.g6896.t1	A
anno1.g4911.t2	A	anno1.g13130.t1	A
anno1.g4913.t1	A	anno1.g13551.t1	A
anno1.g4893.t1	A	anno1.g90.t1	A
anno1.g4894.t1	A	anno1.g91.t1	A
anno1.g4895.t2	A	anno1.g92.t2	A
anno1.g4896.t1	A	anno1.g93.t1	A
anno1.g4897.t1	A	anno1.g94.t1	A
anno1.g4898.t1	A	anno1.g95.t1	A
anno1.g4899.t1	A	anno1.g96.t1	A
anno1.g4900.t1	A	anno1.g97.t1	A
anno1.g4901.t1	A	anno1.g98.t1	A
anno1.g4902.t1	A	anno1.g100.t1	A
anno1.g4903.t1	A	anno1.g101.t1	A
anno1.g4904.t1	A	anno1.g804.t2	A
anno1.g4905.t1	A	anno1.g805.t1	A
anno1.g4906.t1	A	anno1.g4462.t1	A
anno1.g4908.t1	A	anno1.g6729.t1	A
anno1.g4880.t1	A	anno1.g1006.t1	A
anno1.g4881.t2	A	anno1.g524.t2	A
anno1.g4882.t1	A	anno1.g729.t1	A
anno1.g4883.t2	A	anno1.g578.t1	A
anno1.g4884.t1	A	anno1.g584.t1	A
anno1.g4885.t1	A	anno1.g582.t1	A
anno1.g4886.t1	A	anno1.g574.t1	A
anno1.g4887.t1	A	anno1.g3284.t1	A
anno1.g4889.t1	A	anno1.g566.t1	A
anno1.g4890.t1	A	anno1.g3291.t1	A
anno1.g4877.t1	A	anno1.g5049.t1	A
anno1.g10458.t1	A	anno1.g4273.t2	A
anno1.g4863.t1	A	anno1.g7524.t1	A
anno1.g4864.t1	A	anno1.g7518.t1	A
anno1.g4865.t2	A	anno1.g7516.t3	A
anno1.g4866.t1	A	anno1.g7515.t1	A
anno1.g4867.t1	A	anno1.g7514.t1	A
