D_carinulata	chromosome	C_maculatus	chromosome
rna-XM_057813148.1	X	g8780.t1	A
rna-XM_057813452.1	X	g1786.t1	A
rna-XM_057814565.1	X	g12813.t1	A
rna-XM_057798072.1	X	g4739.t1	A
rna-XM_057797398.1	X	g5585.t1	A
rna-XM_057799747.1	X	g1868.t1	A
rna-XM_057799759.1	X	g2619.t1	A
rna-XM_057815765.1	X	g13226.t1	A
rna-XM_057802991.1	X	g13224.t1	A
rna-XM_057797824.1	X	g2164.t1	A
rna-XM_057797813.1	X	g2162.t4	A
rna-XM_057806304.1	X	g5370.t1	A
rna-XM_057801362.1	X	g12864.t1	A
rna-XM_057801394.1	X	g12865.t1	A
rna-XM_057801309.1	X	g12152.t1	A
rna-XM_057801244.1	X	g8351.t2	A
rna-XM_057801350.1	X	g10465.t1	A
rna-XM_057801419.1	X	g14823.t1	A
rna-XM_057801273.1	X	g12365.t1	A
rna-XM_057801263.1	X	g9754.t1	A
rna-XM_057801231.1	X	g7636.t1	A
rna-XM_057801115.1	X	g8355.t1	A
rna-XM_057797655.1	X	g3839.t1	A
rna-XM_057803979.1	X	g10089.t1	A
rna-XM_057812831.1	X	g1358.t1	A
rna-XM_057812894.1	X	g7727.t1	A
rna-XM_057804561.1	X	g7726.t2	A
rna-XM_057804764.1	X	g12627.t1	A
rna-XM_057795578.1	X	g3091.t2	A
rna-XM_057804707.1	X	g5837.t1	A
rna-XM_057804620.1	X	g12920.t1	A
rna-XM_057804572.1	X	g12628.t2	A
rna-XM_057804668.1	X	g13637.t1	A
rna-XM_057804638.1	X	g7653.t1	A
rna-XM_057804656.1	X	g2636.t2	A
rna-XM_057804737.1	X	g7649.t1	A
rna-XM_057804680.1	X	g12814.t1	A
rna-XM_057804695.1	X	g10194.t1	A
rna-XM_057804728.1	X	g14783.t1	A
rna-XM_057804719.1	X	g4770.t1	A
rna-XM_057797524.1	X	g529.t1	A
rna-XM_057809688.1	X	g4317.t1	A
rna-XM_057804840.1	X	g4316.t1	A
rna-XM_057804828.1	X	g4602.t2	A
rna-XM_057805107.1	X	g4772.t1	A
rna-XM_057805149.1	X	g4657.t1	A
rna-XM_057804956.1	X	g4658.t1	A
rna-XM_057805019.1	X	g4659.t1	A
rna-XM_057805161.1	X	g5494.t2	A
rna-XM_057805006.1	X	g5493.t1	A
rna-XM_057804916.1	X	g5466.t1	A
rna-XM_057805088.1	X	g5486.t1	A
rna-XM_057805054.1	X	g5473.t1	A
rna-XM_057804983.1	X	g12913.t1	A
rna-XM_057814193.1	X	g12878.t2	A
rna-XM_057814311.1	X	g12881.t1	A
rna-XM_057814357.1	X	g12875.t1	A
rna-XM_057800126.1	X	g12877.t1	A
rna-XM_057800253.1	X	g12876.t1	A
rna-XM_057815684.1	X	g12912.t1	A
rna-XM_057814718.1	X	g1865.t1	A
rna-XM_057814731.1	X	g4686.t1	A
rna-XM_057814706.1	X	g14640.t1	A
rna-XM_057800490.1	X	g8431.t1	A
rna-XM_057800739.1	X	g4654.t1	A
rna-XM_057800624.1	X	g4494.t1	A
rna-XM_057804028.1	X	g12721.t1	A
rna-XM_057807416.1	X	g12719.t2	A
rna-XM_057816830.1	X	g12718.t1	A
rna-XM_057797445.1	X	g11112.t1	A
rna-XM_057797462.1	X	g12831.t1	A
rna-XM_057798048.1	X	g12832.t1	A
rna-XM_057811424.1	X	g12939.t1	A
rna-XM_057811364.1	X	g12934.t1	A
rna-XM_057811450.1	X	g5174.t1	A
rna-XM_057811411.1	X	g12930.t1	A
rna-XM_057811437.1	X	g12926.t1	A
rna-XM_057806571.1	X	g3087.t1	A
rna-XM_057806632.1	X	g12925.t1	A
rna-XM_057797185.1	X	g12927.t1	A
rna-XM_057814095.1	X	g4294.t1	A
rna-XM_057799703.1	X	g4300.t1	A
rna-XM_057815537.1	X	g4954.t3	A
rna-XM_057816637.1	X	g4952.t2	A
rna-XM_057797972.1	X	g13257.t1	A
rna-XM_057796559.1	X	g3090.t1	A
rna-XM_057796585.1	X	g3092.t1	A
rna-XM_057796548.1	X	g4955.t1	A
rna-XM_057809026.1	X	g7476.t1	X
rna-XM_057812034.1	X	g7475.t2	X
rna-XM_057812022.1	X	g2877.t1	X
rna-XM_057807079.1	X	g2891.t1	X
rna-XM_057806722.1	X	g1699.t1	X
rna-XM_057797357.1	X	g5139.t1	A
rna-XM_057797332.1	X	g12657.t1	A
rna-XM_057797367.1	X	g1584.t1	X
rna-XM_057797354.1	X	g1638.t1	X
rna-XM_057814015.1	X	g1691.t1	X
rna-XM_057814064.1	X	g1688.t1	X
rna-XM_057811218.1	X	g1580.t1	X
rna-XM_057804496.1	X	g1581.t1	X
rna-XM_057812283.1	X	g7474.t1	X
rna-XM_057812229.1	X	g7466.t1	X
rna-XM_057812320.1	X	g1685.t1	X
rna-XM_057802704.1	X	g1460.t1	X
rna-XM_057807099.1	X	g1544.t1	X
rna-XM_057799650.1	X	g5669.t2	A
rna-XM_057809887.1	X	g1527.t2	X
rna-XM_057809938.1	X	g1528.t1	X
rna-XM_057809916.1	X	g2924.t1	X
rna-XM_057809902.1	X	g2925.t1	X
rna-XM_057803483.1	X	g2928.t1	X
rna-XM_057801564.1	X	g2929.t1	X
rna-XM_057807318.1	X	g14355.t1	X
rna-XM_057812445.1	X	g7426.t1	X
rna-XM_057812476.1	X	g7427.t1	X
rna-XM_057797205.1	X	g7428.t1	X
rna-XM_057810616.1	X	g7429.t2	X
