D_carinulata	chromosome	B_varius	chromosome
rna-XM_057814440.1	X	anno1.g10626.t2	A
rna-XM_057798072.1	X	anno1.g10212.t1	A
rna-XM_057797398.1	X	anno1.g7848.t1	A
rna-XM_057799747.1	X	anno1.g1183.t1	A
rna-XM_057799759.1	X	anno1.g6246.t1	A
rna-XM_057815765.1	X	anno1.g5600.t1	A
rna-XM_057802991.1	X	anno1.g5602.t1	A
rna-XM_057797824.1	X	anno1.g1759.t1	A
rna-XM_057797813.1	X	anno1.g1760.t1	A
rna-XM_057806304.1	X	anno1.g350.t1	A
rna-XM_057801362.1	X	anno1.g6454.t1	A
rna-XM_057801394.1	X	anno1.g6455.t1	A
rna-XM_057801309.1	X	anno1.g7420.t1	A
rna-XM_057801244.1	X	anno1.g3544.t1	A
rna-XM_057801350.1	X	anno1.g10343.t1	A
rna-XM_057801419.1	X	anno1.g10342.t1	A
rna-XM_057801273.1	X	anno1.g7623.t1	A
rna-XM_057801263.1	X	anno1.g11247.t1	A
rna-XM_057801231.1	X	anno1.g6362.t1	A
rna-XM_057801115.1	X	anno1.g3538.t1	A
rna-XM_057797655.1	X	anno1.g9418.t1	A
rna-XM_057803979.1	X	anno1.g10861.t1	A
rna-XM_057812831.1	X	anno1.g2033.t1	A
rna-XM_057812894.1	X	anno1.g3508.t1	A
rna-XM_057804561.1	X	anno1.g3507.t1	A
rna-XM_057804764.1	X	anno1.g6203.t1	A
rna-XM_057795578.1	X	anno1.g5948.t1	A
rna-XM_057804707.1	X	anno1.g8127.t1	A
rna-XM_057804601.1	X	anno1.g6201.t1	A
rna-XM_057804572.1	X	anno1.g6202.t1	A
rna-XM_057804668.1	X	anno1.g6393.t1	A
rna-XM_057804638.1	X	anno1.g6384.t1	A
rna-XM_057804656.1	X	anno1.g6261.t1	A
rna-XM_057804737.1	X	anno1.g6379.t1	A
rna-XM_057804680.1	X	anno1.g6056.t1	A
rna-XM_057804695.1	X	anno1.g11471.t1	A
rna-XM_057804728.1	X	anno1.g1984.t1	A
rna-XM_057804719.1	X	anno1.g10112.t1	A
rna-XM_057797524.1	X	anno1.g3425.t1	A
rna-XM_057796443.1	X	anno1.g7130.t1	A
rna-XM_057804840.1	X	anno1.g9774.t1	A
rna-XM_057804828.1	X	anno1.g10030.t2	A
rna-XM_057805107.1	X	anno1.g10110.t1	A
rna-XM_057805149.1	X	anno1.g10136.t1	A
rna-XM_057804956.1	X	anno1.g10137.t1	A
rna-XM_057805019.1	X	anno1.g10138.t1	A
rna-XM_057805161.1	X	anno1.g767.t2	A
rna-XM_057805006.1	X	anno1.g768.t1	A
rna-XM_057804916.1	X	anno1.g769.t1	A
rna-XM_057805033.1	X	anno1.g770.t1	A
rna-XM_057805088.1	X	anno1.g774.t1	A
rna-XM_057805054.1	X	anno1.g763.t1	A
rna-XM_057804983.1	X	anno1.g6487.t1	A
rna-XM_057814311.1	X	anno1.g6468.t1	A
rna-XM_057814357.1	X	anno1.g6464.t1	A
rna-XM_057800126.1	X	anno1.g6466.t1	A
rna-XM_057800253.1	X	anno1.g6465.t1	A
rna-XM_057815684.1	X	anno1.g6486.t1	A
rna-XM_057814718.1	X	anno1.g1180.t1	A
rna-XM_057814731.1	X	anno1.g10165.t1	A
rna-XM_057814706.1	X	anno1.g1867.t1	A
rna-XM_057800490.1	X	anno1.g4141.t1	A
rna-XM_057800624.1	X	anno1.g9944.t1	A
rna-XM_057804028.1	X	anno1.g6118.t1	A
rna-XM_057807416.1	X	anno1.g6119.t1	A
rna-XM_057816830.1	X	anno1.g6120.t1	A
rna-XM_057806431.1	X	anno1.g6126.t1	A
rna-XM_057797445.1	X	anno1.g5731.t1	A
rna-XM_057797462.1	X	anno1.g6041.t1	A
rna-XM_057798048.1	X	anno1.g6040.t2	A
rna-XM_057811424.1	X	anno1.g5951.t1	A
