C_chinensis	chromosome	C_maculatus	chromosome
anno1.g4946.t1	A	g1831.t1	A
anno1.g4947.t1	A	g1830.t1	A
anno1.g4948.t2	A	g1827.t2	A
anno1.g4949.t1	A	g1826.t1	A
anno1.g4940.t1	A	g8555.t1	A
anno1.g4941.t1	A	g8554.t1	A
anno1.g4914.t2	A	g8136.t1	A
anno1.g4916.t1	A	g8134.t1	A
anno1.g4915.t1	A	g8133.t1	A
anno1.g4917.t1	A	g8132.t1	A
anno1.g4918.t1	A	g8131.t1	A
anno1.g4920.t1	A	g8130.t1	A
anno1.g4921.t1	A	g8129.t1	A
anno1.g4922.t1	A	g8128.t1	A
anno1.g4923.t2	A	g8127.t2	A
anno1.g4924.t1	A	g8126.t1	A
anno1.g4925.t1	A	g8125.t2	A
anno1.g4928.t2	A	g8124.t2	A
anno1.g4929.t1	A	g8123.t1	A
anno1.g4931.t2	A	g8122.t1	A
anno1.g4932.t1	A	g8121.t1	A
anno1.g4933.t1	A	g8120.t1	A
anno1.g4934.t1	A	g8119.t1	A
anno1.g4935.t1	A	g8118.t1	A
anno1.g4936.t2	A	g8117.t1	A
anno1.g4909.t1	A	g2781.t1	A
anno1.g4910.t1	A	g6732.t2	A
anno1.g4911.t2	A	g14802.t1	A
anno1.g4893.t1	A	g10386.t1	A
anno1.g4894.t1	A	g10387.t1	A
anno1.g4895.t2	A	g10388.t2	A
anno1.g4896.t1	A	g10389.t1	A
anno1.g4897.t1	A	g10303.t1	A
anno1.g4899.t1	A	g10393.t1	A
anno1.g4900.t1	A	g10304.t1	A
anno1.g4901.t1	A	g10305.t1	A
anno1.g4902.t1	A	g10394.t1	A
anno1.g4903.t1	A	g10395.t1	A
anno1.g4904.t1	A	g10396.t2	A
anno1.g4905.t1	A	g10397.t1	A
anno1.g4906.t1	A	g2821.t1	X
anno1.g4880.t1	A	g10773.t1	A
anno1.g4881.t2	A	g10774.t1	A
anno1.g4882.t1	A	g10775.t1	A
anno1.g4883.t2	A	g10776.t1	A
anno1.g4884.t1	A	g10777.t1	A
anno1.g4885.t1	A	g10778.t1	A
anno1.g4886.t1	A	g10780.t1	A
anno1.g4887.t1	A	g10781.t2	A
anno1.g4889.t1	A	g10784.t1	A
anno1.g4877.t1	A	g9505.t1	A
anno1.g10458.t1	A	g12816.t2	A
anno1.g4863.t1	A	g3595.t1	A
anno1.g4864.t1	A	g3594.t1	A
anno1.g4865.t2	A	g3593.t2	A
anno1.g4866.t1	A	g3592.t1	A
anno1.g4867.t1	A	g5521.t1	A
anno1.g4868.t1	A	g3591.t1	A
anno1.g4870.t1	A	g3590.t1	A
anno1.g4873.t1	A	g1455.t1	X
anno1.g4861.t1	A	g1520.t1	X
anno1.g4836.t1	A	g4549.t1	A
anno1.g4837.t1	A	g1600.t1	X
anno1.g4839.t1	A	g2038.t1	A
anno1.g4841.t1	A	g2040.t1	A
anno1.g4842.t1	A	g2041.t1	A
anno1.g4843.t1	A	g2042.t1	A
anno1.g4844.t1	A	g2043.t1	A
anno1.g4845.t1	A	g14639.t1	A
anno1.g4846.t2	A	g14638.t1	A
anno1.g4847.t1	A	g14637.t1	A
anno1.g4848.t2	A	g14636.t1	A
anno1.g4849.t1	A	g14634.t1	A
anno1.g4850.t1	A	g14635.t1	A
anno1.g4851.t1	A	g14633.t2	A
anno1.g4852.t1	A	g14632.t1	A
anno1.g4854.t1	A	g14631.t1	A
anno1.g4855.t1	A	g14630.t1	A
anno1.g4860.t1	A	g14628.t1	A
anno1.g4826.t1	A	g5132.t1	A
anno1.g4827.t2	A	g5131.t1	A
anno1.g4831.t1	A	g5130.t1	A
anno1.g4832.t1	A	g5129.t1	A
anno1.g4833.t1	A	g5128.t1	A
anno1.g4825.t1	A	g4259.t2	A
anno1.g4809.t1	A	g10097.t1	A
anno1.g4810.t1	A	g10096.t1	A
anno1.g4811.t1	A	g10095.t1	A
anno1.g4812.t1	A	g10094.t1	A
anno1.g4813.t1	A	g10093.t1	A
anno1.g4814.t1	A	g10092.t1	A
anno1.g4815.t1	A	g10091.t1	A
