HOG	OG	Gene Tree Parent Clade	A_obtectus	B_siliquastri	B_varius	C_chinensis	C_maculatus	C_maculatusC	D_carinulata	D_sublineata
N0.HOG0000000	OG0000000	n0		BRAKERILHT00000005505_1, BRAKERILHT00000007333_1, BRAKERILHT00000001947_1, BRAKERILHT00000011952_1, BRAKERILHT00000011054_1, BRAKERILHT00000011234_1, BRAKERILHT00000010986_1, BRAKERILHT00000010438_1, BRAKERILHT00000012028_1, BRAKERILHT00000002069_1, BRAKERILHT00000013620_1, BRAKERILHT00000003765_1, BRAKERILHT00000003165_1, BRAKERILHT00000002629_1, BRAKERILHT00000007187_1, BRAKERILHT00000002846_1, BRAKERILHT00000002609_1, BRAKERILHT00000005164_1, BRAKERILHT00000000425_1, BRAKERILHT00000001329_1, BRAKERILHT00000000421_1, BRAKERILHT00000000050_1, BRAKERILHT00000000652_1, BRAKERILHT00000000953_1, BRAKERILHT00000001120_1, BRAKERILHT00000002035_1, BRAKERILHT00000001317_1, BRAKERILHT00000000373_1, BRAKERILHT00000001380_1, BRAKERILHT00000001558_1, BRAKERILHT00000000626_1, BRAKERILHT00000002115_1, BRAKERILHT00000001564_1, BRAKERILHT00000007577_1, BRAKERILHT00000007040_1, BRAKERILHT00000014183_1, BRAKERILHT00000003910_1, BRAKERILHT00000014391_1, BRAKERILHT00000014355_1, BRAKERILHT00000015191_1, BRAKERILHT00000015523_1, BRAKERILHT00000014170_1, BRAKERILHT00000007603_1, BRAKERILHT00000003487_1, BRAKERILHT00000004333_1, BRAKERILHT00000000506_1, BRAKERILHT00000001755_1, BRAKERILHT00000007907_1, BRAKERILHT00000008366_1, BRAKERILHT00000006766_1, BRAKERILHT00000006691_1, BRAKERILHT00000006453_1, BRAKERILHT00000005846_1, BRAKERILHT00000005735_1, BRAKERILHT00000006323_1, BRAKERILHT00000006050_1, BRAKERILHT00000004536_1, BRAKERILHT00000006186_1, BRAKERILHT00000005013_1, BRAKERILHT00000005620_1, BRAKERILHT00000000405_1, BRAKERILHT00000009290_1, BRAKERILHT00000003750_1, BRAKERILHT00000003007_1, BRAKERILHT00000003509_1, BRAKERILHT00000013812_1, BRAKERILHT00000000504_1, BRAKERILHT00000012165_1, BRAKERILHT00000000186_1, BRAKERILHT00000001697_1, BRAKERILHT00000001903_1, BRAKERILHT00000012593_1, BRAKERILHT00000013086_1, BRAKERILHT00000018013_1, BRAKERILHT00000017630_1, BRAKERILHT00000017490_1, BRAKERILHT00000017214_1, BRAKERILHT00000017659_1, BRAKERILHT00000017863_1, BRAKERILHT00000017106_1, BRAKERILHT00000009070_1, BRAKERILHT00000002748_1, BRAKERILHT00000007015_1, BRAKERILHT00000016627_1, BRAKERILHT00000016325_1, BRAKERILHT00000008739_1, BRAKERILHT00000010168_1, BRAKERILHT00000009027_1, BRAKERILHT00000009128_1, BRAKERILHT00000009035_1, BRAKERILHT00000016675_1, BRAKERILHT00000015903_1, BRAKERILHT00000004359_1, BRAKERILHT00000003096_1, BRAKERILHT00000002531_1, BRAKERILHT00000003263_1, BRAKERILHT00000002825_1, BRAKERILHT00000003022_1, BRAKERILHT00000003756_1, BRAKERILHT00000007647_1, BRAKERILHT00000008594_1, BRAKERILHT00000010565_1, BRAKERILHT00000011375_1, BRAKERILHT00000012556_1, BRAKERILHT00000012849_1, BRAKERILHT00000014308_1, BRAKERILHT00000007484_1, BRAKERILHT00000007023_1, BRAKERILHT00000008383_1, BRAKERILHT00000007355_1, BRAKERILHT00000007239_1, BRAKERILHT00000006810_1, BRAKERILHT00000008066_1, BRAKERILHT00000010736_1, BRAKERILHT00000002698_1, BRAKERILHT00000002530_1, BRAKERILHT00000006077_1, BRAKERILHT00000004822_1, BRAKERILHT00000013169_1, BRAKERILHT00000000784_1, BRAKERILHT00000001374_1, BRAKERILHT00000011007_1, BRAKERILHT00000014657_1, BRAKERILHT00000010486_1, BRAKERILHT00000010771_1, BRAKERILHT00000011381_1, BRAKERILHT00000012043_1, BRAKERILHT00000011419_1, BRAKERILHT00000012246_1, BRAKERILHT00000012273_1, BRAKERILHT00000010856_1, BRAKERILHT00000011312_1, BRAKERILHT00000012074_1, BRAKERILHT00000011934_1, BRAKERILHT00000011677_1, BRAKERILHT00000012157_1						
N0.HOG0000001	OG0000001	n0	anno1.g9004.t1, anno1.g9007.t1, anno1.g9002.t1, anno1.g10218.t1, anno1.g10217.t1, anno1.g10223.t1, anno1.g10222.t1, anno1.g10220.t1, anno1.g10230.t1, anno1.g10226.t1, anno1.g10227.t1, anno1.g10232.t1, anno1.g10225.t1, anno1.g10229.t1, anno1.g10209.t1, anno1.g10213.t1, anno1.g120.t1, anno1.g3465.t1, anno1.g10266.t1, anno1.g14234.t2, anno1.g14217.t1, anno1.g10349.t1, anno1.g10235.t1, anno1.g10231.t1, anno1.g10224.t1, anno1.g10210.t1, anno1.g10216.t1, anno1.g10215.t1, anno1.g10212.t1, anno1.g10219.t1, anno1.g10221.t1, anno1.g13291.t1, anno1.g10214.t1, anno1.g10211.t1, anno1.g10233.t1, anno1.g10234.t1, anno1.g10731.t1, anno1.g13740.t1, anno1.g59.t1, anno1.g8969.t1, anno1.g12960.t1, anno1.g698.t1, anno1.g5208.t1, anno1.g5373.t1	BRAKERILHT00000009893_1, BRAKERILHT00000014751_1, BRAKERILHT00000015128_1, BRAKERILHT00000014411_1, BRAKERILHT00000015470_1, BRAKERILHT00000014550_1	anno1.g56.t1, anno1.g8076.t1, anno1.g2290.t1, anno1.g11508.t1, anno1.g51.t1, anno1.g6544.t2, anno1.g6557.t1, anno1.g6560.t1, anno1.g81.t1, anno1.g5985.t1, anno1.g5984.t1, anno1.g2562.t1	anno1.g12694.t1, anno1.g12696.t1, anno1.g12693.t1, anno1.g12701.t1, anno1.g1040.t1, anno1.g10292.t1, anno1.g8621.t1, anno1.g10297.t1, anno1.g9580.t2, anno1.g13217.t1, anno1.g11436.t1, anno1.g328.t1, anno1.g12587.t1, anno1.g12583.t1, anno1.g12584.t1, anno1.g10283.t1, anno1.g10290.t1, anno1.g4986.t1, anno1.g4985.t1, anno1.g4042.t1, anno1.g12879.t1, anno1.g4044.t1, anno1.g4043.t2, anno1.g807.t1, anno1.g4045.t1	g4201.t1_1, g13881.t1_1, g7546.t1_1, g9192.t2_1, g7343.t1_1, g7344.t1_1, g3533.t1_1, g7545.t1_1, g2304.t1_1, g2323.t1_1, g3496.t1_1, g3495.t1_1, g3489.t1_1, g4957.t1_1, g1232.t1_1	anno1.g5406.t1, anno1.g8267.t1, anno1.g7236.t1, anno1.g9883.t1, anno1.g7237.t1, anno1.g7239.t1, anno1.g7238.t1, anno1.g7477.t1, anno1.g7412.t1, anno1.g7650.t1, anno1.g7349.t1, anno1.g1547.t1, anno1.g7441.t1, anno1.g1548.t1, anno1.g1544.t1, anno1.g1556.t1, anno1.g1546.t1, anno1.g11542.t1, anno1.g1234.t2		
N0.HOG0000002	OG0000002	n1			anno1.g5582.t1, anno1.g325.t1, anno1.g326.t1				rna-XM_057800839.1_1, rna-XM_057802510.1_1, rna-XM_057806053.1_1, rna-XM_057802511.1_1	rna-XM_056791374.1_1, rna-XM_056791473.1_1, rna-XM_056791383.1_1
N0.HOG0000003	OG0000002	n10	anno1.g12139.t1, anno1.g12138.t1		anno1.g2865.t1, anno1.g1094.t1, anno1.g4159.t1, anno1.g12378.t1, anno1.g2867.t1, anno1.g12369.t1, anno1.g12379.t1, anno1.g12310.t1, anno1.g12368.t1, anno1.g4326.t1, anno1.g6848.t1, anno1.g2081.t1, anno1.g8384.t1, anno1.g2990.t1, anno1.g5862.t1, anno1.g4366.t1, anno1.g4198.t1, anno1.g11778.t1, anno1.g12367.t1, anno1.g7430.t1, anno1.g2868.t1, anno1.g6849.t1, anno1.g4327.t1, anno1.g7159.t1, anno1.g2864.t1, anno1.g12380.t1, anno1.g12370.t1			anno1.g1240.t1, anno1.g1243.t1, anno1.g13517.t1, anno1.g9024.t1, anno1.g9021.t1, anno1.g13519.t1, anno1.g13956.t1, anno1.g8625.t1, anno1.g8626.t1, anno1.g2971.t1, anno1.g2972.t1, anno1.g2682.t1, anno1.g4889.t1, anno1.g4888.t1, anno1.g7789.t1, anno1.g7790.t1, anno1.g10510.t1, anno1.g10511.t1, anno1.g13954.t1, anno1.g11016.t1, anno1.g13955.t1, anno1.g2438.t1, anno1.g13413.t1, anno1.g8282.t1, anno1.g8283.t1, anno1.g1083.t1, anno1.g9052.t1, anno1.g9468.t1, anno1.g9051.t1, anno1.g2681.t1, anno1.g14009.t1, anno1.g13557.t1, anno1.g1274.t1, anno1.g6073.t1, anno1.g11971.t1, anno1.g13023.t1, anno1.g13022.t1, anno1.g11970.t1, anno1.g4514.t1, anno1.g4513.t1, anno1.g13692.t1, anno1.g12787.t1, anno1.g12786.t1, anno1.g11017.t1, anno1.g1273.t1, anno1.g13809.t1, anno1.g1985.t1, anno1.g1984.t1, anno1.g1084.t1, anno1.g13412.t1, anno1.g1082.t1, anno1.g13414.t2, anno1.g2437.t1, anno1.g13767.t1, anno1.g9470.t1, anno1.g2439.t1, anno1.g8627.t1, anno1.g2973.t1, anno1.g2970.t1, anno1.g2683.t1, anno1.g10750.t1, anno1.g10509.t1, anno1.g10512.t1, anno1.g11015.t1, anno1.g4661.t1, anno1.g4664.t1, anno1.g9020.t1, anno1.g1239.t1, anno1.g13957.t1, anno1.g1244.t1, anno1.g9025.t1, anno1.g7791.t1, anno1.g7788.t1, anno1.g4887.t1, anno1.g4890.t1, anno1.g13807.t1	rna-XM_057807138.1_1	
N0.HOG0000004	OG0000003	n0		BRAKERILHT00000003844_1, BRAKERILHT00000001653_1, BRAKERILHT00000018074_1, BRAKERILHT00000010377_1, BRAKERILHT00000017497_1, BRAKERILHT00000017200_1, BRAKERILHT00000017717_1, BRAKERILHT00000004031_1, BRAKERILHT00000003845_1, BRAKERILHT00000016948_1, BRAKERILHT00000000572_1, BRAKERILHT00000001424_1, BRAKERILHT00000002405_1, BRAKERILHT00000002496_1, BRAKERILHT00000015632_1, BRAKERILHT00000016706_1, BRAKERILHT00000016215_1, BRAKERILHT00000016296_1, BRAKERILHT00000001956_1, BRAKERILHT00000001076_1, BRAKERILHT00000003911_1, BRAKERILHT00000003101_1, BRAKERILHT00000002978_1, BRAKERILHT00000004334_1, BRAKERILHT00000008792_1, BRAKERILHT00000015311_1, BRAKERILHT00000014231_1, BRAKERILHT00000014566_1, BRAKERILHT00000014608_1, BRAKERILHT00000014894_1, BRAKERILHT00000014402_1, BRAKERILHT00000015088_1, BRAKERILHT00000004381_1, BRAKERILHT00000000173_1, BRAKERILHT00000006233_1, BRAKERILHT00000003090_1, BRAKERILHT00000002426_1, BRAKERILHT00000010768_1, BRAKERILHT00000010110_1, BRAKERILHT00000016921_1, BRAKERILHT00000009614_1, BRAKERILHT00000008741_1, BRAKERILHT00000017716_1, BRAKERILHT00000000768_1, BRAKERILHT00000004053_1, BRAKERILHT00000002652_1, BRAKERILHT00000002575_1, BRAKERILHT00000002726_1, BRAKERILHT00000016990_1, BRAKERILHT00000002711_1, BRAKERILHT00000000225_1, BRAKERILHT00000017285_1, BRAKERILHT00000012779_1, BRAKERILHT00000016220_1, BRAKERILHT00000011679_1, BRAKERILHT00000011253_1, BRAKERILHT00000013386_1, BRAKERILHT00000006862_1, BRAKERILHT00000005289_1, BRAKERILHT00000009606_1, BRAKERILHT00000009938_1, BRAKERILHT00000018096_1, BRAKERILHT00000008504_1, BRAKERILHT00000017057_1, BRAKERILHT00000000211_1, BRAKERILHT00000015296_1, BRAKERILHT00000008118_1, BRAKERILHT00000010848_1, BRAKERILHT00000002175_1, BRAKERILHT00000016903_1, BRAKERILHT00000014712_1, BRAKERILHT00000015655_1, BRAKERILHT00000016105_1, BRAKERILHT00000016283_1, BRAKERILHT00000016673_1, BRAKERILHT00000015914_1, BRAKERILHT00000016002_1, BRAKERILHT00000015683_1, BRAKERILHT00000016382_1, BRAKERILHT00000016421_1, BRAKERILHT00000016487_1, BRAKERILHT00000016442_1, BRAKERILHT00000015972_1, BRAKERILHT00000016626_1, BRAKERILHT00000016508_1, BRAKERILHT00000016900_1, BRAKERILHT00000016316_1, BRAKERILHT00000016200_1, BRAKERILHT00000016021_1, BRAKERILHT00000015830_1, BRAKERILHT00000010237_1, BRAKERILHT00000008514_1, BRAKERILHT00000009633_1, BRAKERILHT00000009693_1, BRAKERILHT00000007492_1, BRAKERILHT00000010673_1, BRAKERILHT00000015438_1, BRAKERILHT00000014346_1, BRAKERILHT00000009020_1, BRAKERILHT00000015861_1, BRAKERILHT00000016052_1, BRAKERILHT00000016524_1, BRAKERILHT00000016527_1, BRAKERILHT00000016835_1, BRAKERILHT00000016865_1, BRAKERILHT00000015892_1, BRAKERILHT00000004340_1						
N0.HOG0000005	OG0000004	n6						anno1.g3701.t1	rna-XM_057807144.1_1, rna-XM_057811232.1_1, rna-XM_057806512.1_1	rna-XM_056777436.1_1
N0.HOG0000006	OG0000004	n10		BRAKERILHT00000017385_1, BRAKERILHT00000017533_1, BRAKERILHT00000017927_1			g1923.t1_1, g3457.t1_1	anno1.g10470.t1, anno1.g12566.t1	rna-XM_057815238.1_1, rna-XM_057815245.1_1	rna-XM_056787858.1_1
N0.HOG0000007	OG0000004	n19				anno1.g9610.t1			rna-XM_057806531.1_1, rna-XM_057811375.1_1, rna-XM_057808483.1_1	rna-XM_056791247.1_1
N0.HOG0000008	OG0000004	n27	anno1.g3114.t1, anno1.g7578.t1, anno1.g7700.t1, anno1.g7860.t1, anno1.g3277.t1, anno1.g10585.t1, anno1.g13578.t1, anno1.g14031.t1, anno1.g9078.t1, anno1.g5733.t1, anno1.g6998.t1, anno1.g14030.t1, anno1.g5414.t1, anno1.g4400.t1, anno1.g7579.t1, anno1.g7699.t1, anno1.g3115.t1, anno1.g3153.t1, anno1.g7859.t1, anno1.g3278.t1, anno1.g11475.t1, anno1.g4590.t2, anno1.g11463.t1, anno1.g5473.t1, anno1.g8128.t1				g1922.t1_1, g3458.t1_1, g11951.t1_1, g607.t1_1	anno1.g10471.t1, anno1.g12567.t1, anno1.g13629.t1, anno1.g9130.t1	rna-XM_057811245.1_1, rna-XM_057806263.1_1, rna-XM_057796323.1_1	rna-XM_056783452.1_1
N0.HOG0000009	OG0000004	n65					g13589.t1_1, g13110.t1_1, g13590.t1_1, g5322.t1_1	anno1.g2800.t1, anno1.g1432.t1, anno1.g4134.t1	rna-XM_057798835.1_1, rna-XM_057797818.1_1	
