D_sublineata	chromosome	A_obtectus	chromosome
rna-XM_056785268.1	A	anno1.g4134.t1	A
rna-XM_056788293.1	A	anno1.g12692.t1	A
rna-XM_056785296.1	A	anno1.g12693.t3	A
rna-XM_056785225.1	A	anno1.g12691.t2	A
rna-XM_056785239.1	A	anno1.g12690.t2	A
rna-XM_056785203.1	A	anno1.g13379.t2	A
rna-XM_056785540.1	A	anno1.g6807.t1	A
rna-XM_056785728.1	A	anno1.g6859.t1	A
rna-XM_056792928.1	A	anno1.g6860.t1	A
rna-XM_056791897.1	A	anno1.g6858.t3	A
rna-XM_056791900.1	A	anno1.g10383.t2	A
rna-XM_056784138.1	A	anno1.g9148.t1	A
rna-XM_056784114.1	A	anno1.g14401.t1	A
rna-XM_056788300.1	A	anno1.g14404.t1	A
rna-XM_056776645.1	A	anno1.g14616.t1	A
rna-XM_056776666.1	A	anno1.g2815.t1	A
rna-XM_056781619.1	A	anno1.g13451.t1	A
rna-XM_056775509.1	A	anno1.g10914.t2	A
rna-XM_056775549.1	A	anno1.g10915.t1	A
rna-XM_056782134.1	A	anno1.g11057.t1	A
rna-XM_056782145.1	A	anno1.g5638.t1	A
rna-XM_056782158.1	A	anno1.g8561.t2	A
rna-XM_056782215.1	A	anno1.g9364.t1	A
rna-XM_056782228.1	A	anno1.g9349.t1	A
rna-XM_056782202.1	A	anno1.g7425.t1	A
rna-XM_056782179.1	A	anno1.g9381.t1	A
rna-XM_056782248.1	A	anno1.g9380.t3	A
rna-XM_056779996.1	A	anno1.g9379.t1	A
rna-XM_056785964.1	A	anno1.g9378.t2	A
rna-XM_056785983.1	A	anno1.g9377.t2	A
rna-XM_056786017.1	A	anno1.g9376.t1	A
rna-XM_056786027.1	A	anno1.g9375.t1	A
rna-XM_056788311.1	A	anno1.g9372.t1	A
rna-XM_056786069.1	A	anno1.g9371.t1	A
rna-XM_056786106.1	A	anno1.g13336.t1	A
rna-XM_056786119.1	A	anno1.g9357.t1	A
rna-XM_056786131.1	A	anno1.g5290.t1	A
rna-XM_056786144.1	A	anno1.g3500.t1	A
rna-XM_056786162.1	A	anno1.g11231.t2	A
rna-XM_056786174.1	A	anno1.g10827.t1	A
rna-XM_056786188.1	A	anno1.g11230.t1	A
rna-XM_056786210.1	A	anno1.g11229.t1	A
rna-XM_056786223.1	A	anno1.g11228.t1	A
rna-XM_056786235.1	A	anno1.g11227.t1	A
